


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.16374E-05    -.92922E-09    -.15054E-04     .19179E-04    -.14294E-04         .000      .000
    .020    -.29976E-06    -.36373E-08    -.17972E-02     .54843E-03    -.56209E-04         .000      .000
    .030    -.27191E-05     .14124E-06    -.59376E-03    -.30406E-03    -.87656E-04         .000      .000
    .040    -.22052E-05     .32100E-06     .80354E-02    -.16429E-02    -.16165E-03         .000      .000
    .050    -.61601E-05     .21498E-06     .55801E-02    -.72983E-03    -.29997E-03         .000      .000
    .060    -.84588E-05     .36448E-07     .33802E-02    -.28848E-03    -.51335E-03         .000      .000
    .070    -.16499E-04    -.65360E-07     .22258E-02    -.26659E-03    -.74986E-03         .000      .000
    .080    -.23620E-04     .19619E-07     .82349E-02    -.14994E-02    -.10340E-02         .000      .000
    .090    -.37355E-04     .23002E-06     .18281E-01    -.38523E-02    -.13731E-02         .000      .000
    .100    -.51422E-04     .40760E-06     .40974E-01    -.83901E-02    -.18116E-02         .000      .000
    .110    -.73863E-04    -.26945E-07     .65083E-01    -.12858E-01    -.23343E-02         .000      .000
    .120    -.98482E-04    -.16176E-05     .89666E-01    -.16955E-01    -.29671E-02         .000      .000
    .130    -.13340E-03    -.48662E-05     .10596E+00    -.19578E-01    -.36613E-02         .000      .000
    .140    -.17183E-03    -.99944E-05     .12144E+00    -.22005E-01    -.43895E-02         .000      .000
    .150    -.21945E-03    -.17265E-04     .13155E+00    -.23881E-01    -.45962E-02         .000      .000
    .160    -.26324E-03    -.26823E-04     .14578E+00    -.26790E-01    -.46486E-02         .000      .000
    .170    -.31585E-03    -.39153E-04     .16563E+00    -.30761E-01    -.57304E-02         .000      .000
    .180    -.38110E-03    -.55518E-04     .17636E+00    -.29283E-01    -.77805E-02         .000      .000
    .190    -.47241E-03    -.77027E-04     .95896E-01    -.68282E-02    -.10117E-01         .000      .000
    .200    -.58282E-03    -.10051E-03    -.59318E-01     .24368E-01    -.12275E-01         .000      .000
    .210    -.71571E-03    -.11962E-03    -.13626E+00     .30255E-01    -.13788E-01         .000      .000
    .220    -.85661E-03    -.13153E-03    -.81569E-02    -.51655E-02    -.14708E-01         .000      .000
    .230    -.10108E-02    -.14100E-03     .27259E+00    -.63447E-01    -.15906E-01         .000      .000
    .240    -.11770E-02    -.15742E-03     .56918E+00    -.11542E+00    -.17770E-01         .000      .000
    .250    -.13674E-02    -.19001E-03     .71797E+00    -.13147E+00    -.19972E-01         .000      .000
    .260    -.15733E-02    -.24247E-03     .64040E+00    -.10391E+00    -.21237E-01         .000      .000
    .270    -.17826E-02    -.31117E-03     .39288E+00    -.52478E-01    -.19662E-01         .000      .000
    .280    -.19584E-02    -.38844E-03     .13937E+00    -.99644E-02    -.15650E-01         .000      .000
    .290    -.20935E-02    -.46930E-03    -.10815E-01     .10346E-01    -.11006E-01         .000      .000
    .300    -.21802E-02    -.55552E-03    -.13894E+00     .38588E-01    -.68605E-02         .000      .000
