


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.16364E-05     .33125E-10    -.56002E-03     .18297E-03    -.13851E-04         .000      .000
    .020    -.29612E-06     .85472E-07     .10449E-02    -.10825E-02    -.59110E-04         .000      .000
    .030    -.28604E-05     .14827E-06     .10245E-01    -.11580E-02    -.11271E-03         .000      .000
    .040    -.25262E-05    -.61356E-07    -.20754E-02     .21525E-02    -.16410E-03         .000      .000
    .050    -.63751E-05    -.63831E-07     .53286E-02    -.44418E-03    -.28287E-03         .000      .000
    .060    -.84952E-05    -.13759E-06     .76859E-02    -.81104E-03    -.49564E-03         .000      .000
    .070    -.16433E-04    -.20276E-06     .18174E-01    -.25467E-02    -.75055E-03         .000      .000
    .080    -.23640E-04    -.41313E-06     .24282E-01    -.25190E-02    -.10478E-02         .000      .000
    .090    -.37585E-04    -.73097E-06     .47141E-01    -.42580E-02    -.14010E-02         .000      .000
    .100    -.51829E-04    -.16689E-05     .59864E-01    -.19054E-02    -.18072E-02         .000      .000
    .110    -.73836E-04    -.33104E-05     .82289E-01    -.15584E-02    -.22442E-02         .000      .000
    .120    -.96864E-04    -.61093E-05     .95993E-01     .20169E-03    -.27289E-02         .000      .000
    .130    -.12854E-03    -.10191E-04     .12043E+00    -.11582E-02    -.32482E-02         .000      .000
    .140    -.16183E-03    -.16083E-04     .13165E+00    -.14439E-03    -.37707E-02         .000      .000
    .150    -.20218E-03    -.23878E-04     .15015E+00    -.15102E-02    -.37606E-02         .000      .000
    .160    -.23642E-03    -.34133E-04     .15521E+00     .43368E-03    -.35642E-02         .000      .000
    .170    -.27669E-03    -.47426E-04     .14468E+00     .87741E-02    -.43289E-02         .000      .000
    .180    -.32559E-03    -.64155E-04     .52524E-01     .26780E-01    -.58794E-02         .000      .000
    .190    -.39539E-03    -.81631E-04    -.17717E-01     .16250E-01    -.77717E-02         .000      .000
    .200    -.48231E-03    -.97669E-04     .29881E-01    -.22574E-01    -.10042E-01         .000      .000
    .210    -.59610E-03    -.11329E-03     .16583E+00    -.49289E-01    -.12255E-01         .000      .000
    .220    -.72507E-03    -.13158E-03     .27075E+00    -.33275E-01    -.13771E-01         .000      .000
    .230    -.86982E-03    -.15479E-03     .35115E+00     .57889E-02    -.14786E-01         .000      .000
    .240    -.10196E-02    -.18561E-03     .36928E+00     .51487E-01    -.15441E-01         .000      .000
    .250    -.11774E-02    -.22535E-03     .33370E+00     .73900E-01    -.15719E-01         .000      .000
    .260    -.13308E-02    -.27394E-03     .26239E+00     .62624E-01    -.15063E-01         .000      .000
    .270    -.14714E-02    -.33055E-03     .18608E+00     .30313E-01    -.12237E-01         .000      .000
    .280    -.15699E-02    -.39533E-03     .38821E-01     .19529E-01    -.77117E-02         .000      .000
    .290    -.16242E-02    -.46848E-03    -.27479E+00     .60836E-01    -.27361E-02         .000      .000
    .300    -.16247E-02    -.54756E-03    -.85659E+00     .13815E+00     .21988E-02         .000      .000
