


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.15350E-05    -.87114E-09    -.14113E-04     .17980E-04    -.13400E-04         .000      .000
    .020    -.28102E-06    -.34100E-08    -.16849E-02     .51415E-03    -.52695E-04         .000      .000
    .030    -.25492E-05     .13241E-06    -.55665E-03    -.28505E-03    -.82178E-04         .000      .000
    .040    -.20674E-05     .30094E-06     .75332E-02    -.15402E-02    -.15155E-03         .000      .000
    .050    -.57751E-05     .20154E-06     .52314E-02    -.68422E-03    -.28123E-03         .000      .000
    .060    -.79301E-05     .34170E-07     .31690E-02    -.27045E-03    -.48127E-03         .000      .000
    .070    -.15467E-04    -.61275E-07     .20867E-02    -.24993E-03    -.70299E-03         .000      .000
    .080    -.22144E-04     .18393E-07     .77202E-02    -.14057E-02    -.96934E-03         .000      .000
    .090    -.35020E-04     .21565E-06     .17139E-01    -.36115E-02    -.12873E-02         .000      .000
    .100    -.48208E-04     .38213E-06     .38414E-01    -.78657E-02    -.16984E-02         .000      .000
    .110    -.69247E-04    -.25261E-07     .61015E-01    -.12054E-01    -.21884E-02         .000      .000
    .120    -.92327E-04    -.15165E-05     .84061E-01    -.15895E-01    -.27817E-02         .000      .000
    .130    -.12507E-03    -.45621E-05     .99339E-01    -.18354E-01    -.34324E-02         .000      .000
    .140    -.16109E-03    -.93697E-05     .11385E+00    -.20630E-01    -.41151E-02         .000      .000
    .150    -.20573E-03    -.16186E-04     .12333E+00    -.22388E-01    -.43089E-02         .000      .000
    .160    -.24679E-03    -.25147E-04     .13667E+00    -.25116E-01    -.43581E-02         .000      .000
    .170    -.29611E-03    -.36706E-04     .15528E+00    -.28839E-01    -.53722E-02         .000      .000
    .180    -.35729E-03    -.52048E-04     .16534E+00    -.27453E-01    -.72942E-02         .000      .000
    .190    -.44289E-03    -.72212E-04     .89902E-01    -.64015E-02    -.94845E-02         .000      .000
    .200    -.54639E-03    -.94229E-04    -.55611E-01     .22845E-01    -.11508E-01         .000      .000
    .210    -.67098E-03    -.11214E-03    -.12774E+00     .28364E-01    -.12926E-01         .000      .000
    .220    -.80307E-03    -.12331E-03    -.76471E-02    -.48426E-02    -.13789E-01         .000      .000
    .230    -.94765E-03    -.13219E-03     .25555E+00    -.59482E-01    -.14912E-01         .000      .000
    .240    -.11034E-02    -.14758E-03     .53361E+00    -.10821E+00    -.16660E-01         .000      .000
    .250    -.12819E-02    -.17813E-03     .67309E+00    -.12326E+00    -.18723E-01         .000      .000
    .260    -.14750E-02    -.22731E-03     .60038E+00    -.97412E-01    -.19910E-01         .000      .000
    .270    -.16712E-02    -.29172E-03     .36832E+00    -.49198E-01    -.18433E-01         .000      .000
    .280    -.18360E-02    -.36416E-03     .13066E+00    -.93417E-02    -.14672E-01         .000      .000
    .290    -.19626E-02    -.43997E-03    -.10139E-01     .96994E-02    -.10318E-01         .000      .000
    .300    -.20440E-02    -.52080E-03    -.13025E+00     .36177E-01    -.64317E-02         .000      .000
