


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.18762E-05     .37915E-07     .14245E-01    -.31270E-02    -.29509E-04         .000      .000
    .020    -.53686E-06    -.55592E-06    -.10805E-01     .71503E-02    -.64265E-04         .000      .000
    .030    -.30422E-05    -.58250E-06    -.38716E-02    -.42152E-02    -.74615E-04         .000      .000
    .040    -.23600E-05    -.89283E-06     .18528E-02     .34288E-02    -.16685E-03         .000      .000
    .050    -.64246E-05    -.12927E-05     .30015E-02    -.30087E-02    -.29077E-03         .000      .000
    .060    -.86109E-05    -.22568E-05     .48039E-02     .56073E-02    -.52808E-03         .000      .000
    .070    -.16880E-04    -.36573E-05     .11007E-01     .19524E-03    -.74972E-03         .000      .000
    .080    -.23801E-04    -.63862E-05     .18061E-03     .12438E-01    -.10133E-02         .000      .000
    .090    -.36974E-04    -.10132E-04    -.21467E-01     .91987E-02    -.12429E-02         .000      .000
    .100    -.48911E-04    -.15305E-04    -.53892E-01     .21340E-01    -.15308E-02         .000      .000
    .110    -.67430E-04    -.21427E-04    -.86636E-01     .18004E-01    -.17878E-02         .000      .000
    .120    -.84902E-04    -.28983E-04    -.12729E+00     .31890E-01    -.20977E-02         .000      .000
    .130    -.10912E-03    -.37501E-04    -.16468E+00     .30098E-01    -.23472E-02         .000      .000
    .140    -.13182E-03    -.47531E-04    -.20759E+00     .45127E-01    -.25720E-02         .000      .000
    .150    -.15813E-03    -.58689E-04    -.26044E+00     .45858E-01    -.20820E-02         .000      .000
    .160    -.17252E-03    -.70982E-04    -.38517E+00     .67582E-01    -.12966E-02         .000      .000
    .170    -.18760E-03    -.80688E-04    -.44845E+00     .39279E-01    -.16025E-02         .000      .000
    .180    -.20953E-03    -.87446E-04    -.28344E+00     .66273E-02    -.33561E-02         .000      .000
    .190    -.25686E-03    -.97217E-04    -.61309E-01     .16419E-02    -.57540E-02         .000      .000
    .200    -.32419E-03    -.11730E-03    -.18517E-01     .58736E-01    -.80217E-02         .000      .000
    .210    -.41369E-03    -.14922E-03    -.16615E+00     .10235E+00    -.92376E-02         .000      .000
    .220    -.50481E-03    -.19226E-03    -.49599E+00     .14740E+00    -.91997E-02         .000      .000
    .230    -.59584E-03    -.24148E-03    -.94994E+00     .15200E+00    -.86319E-02         .000      .000
    .240    -.67801E-03    -.29039E-03    -.13398E+01     .14803E+00    -.82076E-02         .000      .000
    .250    -.76017E-03    -.33405E-03    -.15466E+01     .13335E+00    -.78452E-02         .000      .000
    .260    -.83172E-03    -.37210E-03    -.16057E+01     .15328E+00    -.65093E-02         .000      .000
    .270    -.88037E-03    -.40499E-03    -.16609E+01     .17477E+00    -.22020E-02         .000      .000
    .280    -.86775E-03    -.43039E-03    -.18579E+01     .18694E+00     .44960E-02         .000      .000
    .290    -.79056E-03    -.43739E-03    -.19214E+01     .74319E-01     .11126E-01         .000      .000
    .300    -.65319E-03    -.41832E-03    -.15378E+01    -.10085E+00     .15424E-01         .000      .000
