


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.13550E-05     .27383E-07     .10288E-01    -.22584E-02    -.21312E-04         .000      .000
    .020    -.38773E-06    -.40150E-06    -.78034E-02     .51641E-02    -.46414E-04         .000      .000
    .030    -.21972E-05    -.42069E-06    -.27961E-02    -.30443E-02    -.53888E-04         .000      .000
    .040    -.17044E-05    -.64482E-06     .13381E-02     .24763E-02    -.12050E-03         .000      .000
    .050    -.46400E-05    -.93363E-06     .21677E-02    -.21730E-02    -.21000E-03         .000      .000
    .060    -.62190E-05    -.16299E-05     .34695E-02     .40497E-02    -.38139E-03         .000      .000
    .070    -.12191E-04    -.26414E-05     .79494E-02     .14101E-03    -.54147E-03         .000      .000
    .080    -.17189E-04    -.46123E-05     .13044E-03     .89831E-02    -.73182E-03         .000      .000
    .090    -.26703E-04    -.73175E-05    -.15504E-01     .66435E-02    -.89766E-03         .000      .000
    .100    -.35325E-04    -.11054E-04    -.38922E-01     .15412E-01    -.11056E-02         .000      .000
    .110    -.48700E-04    -.15475E-04    -.62571E-01     .13003E-01    -.12912E-02         .000      .000
    .120    -.61318E-04    -.20932E-04    -.91933E-01     .23032E-01    -.15150E-02         .000      .000
    .130    -.78812E-04    -.27084E-04    -.11894E+00     .21737E-01    -.16952E-02         .000      .000
    .140    -.95205E-04    -.34328E-04    -.14993E+00     .32591E-01    -.18575E-02         .000      .000
    .150    -.11420E-03    -.42387E-04    -.18810E+00     .33119E-01    -.15037E-02         .000      .000
    .160    -.12460E-03    -.51265E-04    -.27818E+00     .48809E-01    -.93642E-03         .000      .000
    .170    -.13549E-03    -.58275E-04    -.32388E+00     .28368E-01    -.11573E-02         .000      .000
    .180    -.15133E-03    -.63156E-04    -.20470E+00     .47864E-02    -.24239E-02         .000      .000
    .190    -.18551E-03    -.70213E-04    -.44279E-01     .11858E-02    -.41556E-02         .000      .000
    .200    -.23414E-03    -.84715E-04    -.13374E-01     .42421E-01    -.57934E-02         .000      .000
    .210    -.29877E-03    -.10777E-03    -.11999E+00     .73918E-01    -.66716E-02         .000      .000
    .220    -.36459E-03    -.13885E-03    -.35821E+00     .10646E+00    -.66443E-02         .000      .000
    .230    -.43033E-03    -.17440E-03    -.68607E+00     .10978E+00    -.62341E-02         .000      .000
    .240    -.48967E-03    -.20973E-03    -.96763E+00     .10691E+00    -.59277E-02         .000      .000
    .250    -.54901E-03    -.24125E-03    -.11170E+01     .96309E-01    -.56660E-02         .000      .000
    .260    -.60069E-03    -.26874E-03    -.11597E+01     .11070E+00    -.47012E-02         .000      .000
    .270    -.63582E-03    -.29249E-03    -.11996E+01     .12622E+00    -.15903E-02         .000      .000
    .280    -.62671E-03    -.31084E-03    -.13418E+01     .13501E+00     .32471E-02         .000      .000
    .290    -.57096E-03    -.31589E-03    -.13877E+01     .53675E-01     .80352E-02         .000      .000
    .300    -.47175E-03    -.30212E-03    -.11107E+01    -.72838E-01     .11140E-01         .000      .000
