


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.13296E-05     .26914E-10    -.45501E-03     .14866E-03    -.11254E-04         .000      .000
    .020    -.24060E-06     .69446E-07     .84901E-03    -.87956E-03    -.48027E-04         .000      .000
    .030    -.23240E-05     .12047E-06     .83237E-02    -.94091E-03    -.91576E-04         .000      .000
    .040    -.20525E-05    -.49852E-07    -.16863E-02     .17489E-02    -.13333E-03         .000      .000
    .050    -.51797E-05    -.51863E-07     .43295E-02    -.36089E-03    -.22983E-03         .000      .000
    .060    -.69024E-05    -.11179E-06     .62448E-02    -.65897E-03    -.40271E-03         .000      .000
    .070    -.13352E-04    -.16474E-06     .14766E-01    -.20692E-02    -.60982E-03         .000      .000
    .080    -.19208E-04    -.33567E-06     .19729E-01    -.20467E-02    -.85130E-03         .000      .000
    .090    -.30538E-04    -.59391E-06     .38302E-01    -.34596E-02    -.11383E-02         .000      .000
    .100    -.42111E-04    -.13560E-05     .48640E-01    -.15482E-02    -.14684E-02         .000      .000
    .110    -.59992E-04    -.26897E-05     .66860E-01    -.12662E-02    -.18234E-02         .000      .000
    .120    -.78702E-04    -.49638E-05     .77994E-01     .16387E-03    -.22172E-02         .000      .000
    .130    -.10444E-03    -.82805E-05     .97847E-01    -.94105E-03    -.26392E-02         .000      .000
    .140    -.13149E-03    -.13068E-04     .10697E+00    -.11732E-03    -.30637E-02         .000      .000
    .150    -.16427E-03    -.19401E-04     .12200E+00    -.12270E-02    -.30555E-02         .000      .000
    .160    -.19209E-03    -.27733E-04     .12611E+00     .35236E-03    -.28959E-02         .000      .000
    .170    -.22481E-03    -.38534E-04     .11755E+00     .71290E-02    -.35172E-02         .000      .000
    .180    -.26454E-03    -.52126E-04     .42676E-01     .21759E-01    -.47770E-02         .000      .000
    .190    -.32125E-03    -.66325E-04    -.14395E-01     .13203E-01    -.63145E-02         .000      .000
    .200    -.39187E-03    -.79356E-04     .24279E-01    -.18341E-01    -.81588E-02         .000      .000
    .210    -.48433E-03    -.92051E-04     .13473E+00    -.40047E-01    -.99575E-02         .000      .000
    .220    -.58912E-03    -.10691E-03     .21998E+00    -.27036E-01    -.11189E-01         .000      .000
    .230    -.70673E-03    -.12577E-03     .28531E+00     .47035E-02    -.12014E-01         .000      .000
    .240    -.82840E-03    -.15081E-03     .30004E+00     .41833E-01    -.12546E-01         .000      .000
    .250    -.95661E-03    -.18310E-03     .27113E+00     .60044E-01    -.12772E-01         .000      .000
    .260    -.10813E-02    -.22257E-03     .21319E+00     .50882E-01    -.12238E-01         .000      .000
    .270    -.11955E-02    -.26858E-03     .15119E+00     .24629E-01    -.99427E-02         .000      .000
    .280    -.12756E-02    -.32121E-03     .31542E-01     .15867E-01    -.62657E-02         .000      .000
    .290    -.13197E-02    -.38064E-03    -.22327E+00     .49429E-01    -.22231E-02         .000      .000
    .300    -.13201E-02    -.44489E-03    -.69598E+00     .11225E+00     .17866E-02         .000      .000
