


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.20846E-05     .42128E-07     .15827E-01    -.34745E-02    -.32788E-04         .000      .000
    .020    -.59651E-06    -.61769E-06    -.12005E-01     .79447E-02    -.71406E-04         .000      .000
    .030    -.33802E-05    -.64722E-06    -.43017E-02    -.46835E-02    -.82905E-04         .000      .000
    .040    -.26222E-05    -.99203E-06     .20586E-02     .38097E-02    -.18539E-03         .000      .000
    .050    -.71385E-05    -.14363E-05     .33350E-02    -.33430E-02    -.32308E-03         .000      .000
    .060    -.95676E-05    -.25075E-05     .53377E-02     .62304E-02    -.58675E-03         .000      .000
    .070    -.18755E-04    -.40636E-05     .12230E-01     .21693E-03    -.83303E-03         .000      .000
    .080    -.26445E-04    -.70958E-05     .20067E-03     .13820E-01    -.11259E-02         .000      .000
    .090    -.41082E-04    -.11258E-04    -.23853E-01     .10221E-01    -.13810E-02         .000      .000
    .100    -.54346E-04    -.17006E-04    -.59879E-01     .23711E-01    -.17009E-02         .000      .000
    .110    -.74922E-04    -.23808E-04    -.96263E-01     .20004E-01    -.19865E-02         .000      .000
    .120    -.94335E-04    -.32204E-04    -.14143E+00     .35434E-01    -.23308E-02         .000      .000
    .130    -.12125E-03    -.41668E-04    -.18298E+00     .33442E-01    -.26080E-02         .000      .000
    .140    -.14647E-03    -.52812E-04    -.23066E+00     .50141E-01    -.28577E-02         .000      .000
    .150    -.17570E-03    -.65210E-04    -.28938E+00     .50953E-01    -.23134E-02         .000      .000
    .160    -.19169E-03    -.78869E-04    -.42796E+00     .75091E-01    -.14406E-02         .000      .000
    .170    -.20844E-03    -.89653E-04    -.49828E+00     .43643E-01    -.17805E-02         .000      .000
    .180    -.23281E-03    -.97162E-04    -.31493E+00     .73637E-02    -.37290E-02         .000      .000
    .190    -.28540E-03    -.10802E-03    -.68121E-01     .18243E-02    -.63933E-02         .000      .000
    .200    -.36021E-03    -.13033E-03    -.20575E-01     .65262E-01    -.89130E-02         .000      .000
    .210    -.45965E-03    -.16580E-03    -.18461E+00     .11372E+00    -.10264E-01         .000      .000
    .220    -.56090E-03    -.21362E-03    -.55110E+00     .16378E+00    -.10222E-01         .000      .000
    .230    -.66204E-03    -.26831E-03    -.10555E+01     .16889E+00    -.95910E-02         .000      .000
    .240    -.75334E-03    -.32266E-03    -.14887E+01     .16448E+00    -.91195E-02         .000      .000
    .250    -.84464E-03    -.37116E-03    -.17185E+01     .14817E+00    -.87169E-02         .000      .000
    .260    -.92414E-03    -.41344E-03    -.17841E+01     .17031E+00    -.72326E-02         .000      .000
    .270    -.97819E-03    -.44999E-03    -.18455E+01     .19419E+00    -.24467E-02         .000      .000
    .280    -.96417E-03    -.47821E-03    -.20643E+01     .20771E+00     .49955E-02         .000      .000
    .290    -.87840E-03    -.48599E-03    -.21349E+01     .82577E-01     .12362E-01         .000      .000
    .300    -.72577E-03    -.46480E-03    -.17087E+01    -.11206E+00     .17138E-01         .000      .000
