


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.10233E-05    -.58076E-09    -.94088E-05     .11987E-04    -.89336E-05         .000      .000
    .020    -.18735E-06    -.22733E-08    -.11233E-02     .34277E-03    -.35130E-04         .000      .000
    .030    -.16994E-05     .88273E-07    -.37110E-03    -.19004E-03    -.54785E-04         .000      .000
    .040    -.13782E-05     .20063E-06     .50221E-02    -.10268E-02    -.10103E-03         .000      .000
    .050    -.38501E-05     .13436E-06     .34876E-02    -.45615E-03    -.18748E-03         .000      .000
    .060    -.52867E-05     .22780E-07     .21126E-02    -.18030E-03    -.32085E-03         .000      .000
    .070    -.10312E-04    -.40850E-07     .13912E-02    -.16662E-03    -.46866E-03         .000      .000
    .080    -.14763E-04     .12262E-07     .51468E-02    -.93710E-03    -.64623E-03         .000      .000
    .090    -.23347E-04     .14376E-06     .11426E-01    -.24077E-02    -.85822E-03         .000      .000
    .100    -.32138E-04     .25475E-06     .25609E-01    -.52438E-02    -.11322E-02         .000      .000
    .110    -.46165E-04    -.16840E-07     .40677E-01    -.80363E-02    -.14589E-02         .000      .000
    .120    -.61551E-04    -.10110E-05     .56041E-01    -.10597E-01    -.18544E-02         .000      .000
    .130    -.83377E-04    -.30414E-05     .66226E-01    -.12236E-01    -.22883E-02         .000      .000
    .140    -.10739E-03    -.62465E-05     .75901E-01    -.13753E-01    -.27434E-02         .000      .000
    .150    -.13715E-03    -.10790E-04     .82218E-01    -.14926E-01    -.28726E-02         .000      .000
    .160    -.16453E-03    -.16765E-04     .91114E-01    -.16744E-01    -.29054E-02         .000      .000
    .170    -.19740E-03    -.24471E-04     .10352E+00    -.19226E-01    -.35815E-02         .000      .000
    .180    -.23819E-03    -.34699E-04     .11023E+00    -.18302E-01    -.48628E-02         .000      .000
    .190    -.29526E-03    -.48142E-04     .59935E-01    -.42676E-02    -.63230E-02         .000      .000
    .200    -.36426E-03    -.62819E-04    -.37074E-01     .15230E-01    -.76717E-02         .000      .000
    .210    -.44732E-03    -.74762E-04    -.85161E-01     .18909E-01    -.86174E-02         .000      .000
    .220    -.53538E-03    -.82207E-04    -.50981E-02    -.32284E-02    -.91925E-02         .000      .000
    .230    -.63177E-03    -.88126E-04     .17037E+00    -.39655E-01    -.99411E-02         .000      .000
    .240    -.73562E-03    -.98388E-04     .35574E+00    -.72140E-01    -.11106E-01         .000      .000
    .250    -.85461E-03    -.11875E-03     .44873E+00    -.82170E-01    -.12482E-01         .000      .000
    .260    -.98331E-03    -.15154E-03     .40025E+00    -.64941E-01    -.13273E-01         .000      .000
    .270    -.11141E-02    -.19448E-03     .24555E+00    -.32798E-01    -.12289E-01         .000      .000
    .280    -.12240E-02    -.24277E-03     .87105E-01    -.62278E-02    -.97813E-02         .000      .000
    .290    -.13084E-02    -.29331E-03    -.67596E-02     .64663E-02    -.68790E-02         .000      .000
    .300    -.13626E-02    -.34720E-03    -.86836E-01     .24118E-01    -.42878E-02         .000      .000
