


 TIME HISTORY FOR STORY NO.  1



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.73295E-06    -.73295E-06    -.38503E-01     .18370E-02     .56321E-04         .000      .000
    .020     .38446E-06     .38446E-06     .33309E-01    -.35780E-02    -.56305E-04         .000      .000
    .030    -.97934E-06    -.97934E-06    -.53263E-01     .70486E-02     .17551E-04         .000      .000
    .040    -.67356E-07    -.67356E-07     .13593E-01    -.15110E-02    -.71059E-04         .000      .000
    .050    -.17081E-05    -.17081E-05    -.81515E-01     .11057E-01    -.28285E-04         .000      .000
    .060    -.14301E-05    -.14301E-05    -.40817E-01     .61415E-02    -.14875E-03         .000      .000
    .070    -.38351E-05    -.38351E-05    -.16023E+00     .18662E-01    -.92945E-04         .000      .000
    .080    -.40672E-05    -.40672E-05    -.12510E+00     .11628E-01    -.19165E-03         .000      .000
    .090    -.68808E-05    -.68808E-05    -.24713E+00     .23862E-01    -.13287E-03         .000      .000
    .100    -.75497E-05    -.75497E-05    -.21694E+00     .17192E-01    -.24247E-03         .000      .000
    .110    -.10921E-04    -.10921E-04    -.34903E+00     .29680E-01    -.18912E-03         .000      .000
    .120    -.12171E-04    -.12171E-04    -.32856E+00     .23237E-01    -.30664E-03         .000      .000
    .130    -.16192E-04    -.16192E-04    -.47427E+00     .36185E-01    -.24757E-03         .000      .000
    .140    -.17870E-04    -.17870E-04    -.45536E+00     .27857E-01    -.33137E-03         .000      .000
    .150    -.21000E-04    -.21000E-04    -.53168E+00     .18694E-01     .31592E-04         .000      .000
    .160    -.18724E-04    -.18724E-04    -.30953E+00    -.12408E-01     .67126E-04         .000      .000
    .170    -.20705E-04    -.20705E-04    -.41682E+00     .33770E-01    -.28926E-03         .000      .000
    .180    -.25429E-04    -.25429E-04    -.62975E+00     .82293E-01    -.86547E-03         .000      .000
    .190    -.36397E-04    -.36397E-04    -.10901E+01     .12860E+00    -.10439E-02         .000      .000
    .200    -.46548E-04    -.46548E-04    -.13529E+01     .13282E+00    -.12104E-02         .000      .000
    .210    -.58768E-04    -.58768E-04    -.16652E+01     .13078E+00    -.91720E-03         .000      .000
    .220    -.65100E-04    -.65100E-04    -.15938E+01     .82397E-01    -.59482E-03         .000      .000
    .230    -.70695E-04    -.70695E-04    -.15471E+01     .63831E-01    -.34695E-03         .000      .000
    .240    -.73572E-04    -.73572E-04    -.13764E+01     .43816E-01    -.48712E-03         .000      .000
    .250    -.79871E-04    -.79871E-04    -.14323E+01     .47411E-01    -.53722E-03         .000      .000
    .260    -.83616E-04    -.83616E-04    -.13274E+01     .91833E-02    -.32280E-03         .000      .000
    .270    -.82487E-04    -.82487E-04    -.10316E+01    -.79601E-01     .95000E-03         .000      .000
    .280    -.65503E-04    -.65503E-04    -.65926E-01    -.20541E+00     .20910E-02         .000      .000
    .290    -.41997E-04    -.41997E-04     .85687E+00    -.24445E+00     .27583E-02         .000      .000
    .300    -.13225E-04    -.13225E-04     .17965E+01    -.24639E+00     .26384E-02         .000      .000
