


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.72005E-06    -.37927E-10    -.14587E-03     .10961E-03    -.13725E-03         .000      .000
    .020    -.27830E-05     .28029E-07    -.89851E-03     .69653E-04    -.29028E-03         .000      .000
    .030    -.65841E-05     .19955E-06     .38253E-02    -.15873E-02    -.46115E-03         .000      .000
    .040    -.12102E-04     .49188E-06     .17442E-01    -.37420E-02    -.65983E-03         .000      .000
    .050    -.19771E-04     .63813E-06     .32878E-01    -.35964E-02    -.85477E-03         .000      .000
    .060    -.28971E-04     .35781E-06     .44247E-01    -.12676E-02    -.98282E-03         .000      .000
    .070    -.39219E-04    -.53749E-06     .54792E-01     .86014E-03    -.10488E-02         .000      .000
    .080    -.49864E-04    -.23074E-05     .61725E-01     .25873E-02    -.10894E-02         .000      .000
    .090    -.61074E-04    -.51526E-05     .60202E-01     .38194E-02    -.11503E-02         .000      .000
    .100    -.73260E-04    -.90558E-05     .50425E-01     .37496E-02    -.13285E-02         .000      .000
    .110    -.88075E-04    -.13792E-04     .37763E-01     .18195E-02    -.16357E-02         .000      .000
    .120    -.10601E-03    -.19042E-04     .28230E-01    -.17049E-02    -.19540E-02         .000      .000
    .130    -.12690E-03    -.24566E-04     .30236E-01    -.55037E-02    -.21951E-02         .000      .000
    .140    -.14974E-03    -.30542E-04     .37474E-01    -.49178E-02    -.23830E-02         .000      .000
    .150    -.17407E-03    -.37397E-04     .34078E-01     .21309E-02    -.24239E-02         .000      .000
    .160    -.19733E-03    -.45322E-04     .15868E-01     .10525E-01    -.22009E-02         .000      .000
    .170    -.21768E-03    -.54236E-04    -.62288E-02     .14313E-01    -.18548E-02         .000      .000
    .180    -.23432E-03    -.64136E-04    -.39172E-01     .15258E-01    -.14762E-02         .000      .000
    .190    -.24704E-03    -.74690E-04    -.89895E-01     .14283E-01    -.10507E-02         .000      .000
    .200    -.25465E-03    -.85041E-04    -.14461E+00     .99516E-02    -.41984E-03         .000      .000
    .210    -.25442E-03    -.94345E-04    -.19161E+00     .50038E-02     .51762E-03         .000      .000
    .220    -.24383E-03    -.10220E-03    -.24000E+00     .63092E-02     .15971E-02         .000      .000
    .230    -.22288E-03    -.10834E-03    -.31064E+00     .16763E-01     .25554E-02         .000      .000
    .240    -.19455E-03    -.11190E-03    -.40276E+00     .27607E-01     .29602E-02         .000      .000
    .250    -.16504E-03    -.11116E-03    -.47974E+00     .24982E-01     .29529E-02         .000      .000
    .260    -.13667E-03    -.10420E-03    -.49245E+00     .32722E-02     .25938E-02         .000      .000
    .270    -.11572E-03    -.90309E-04    -.41690E+00    -.23256E-01     .14770E-02         .000      .000
    .280    -.10840E-03    -.70576E-04    -.30049E+00    -.30717E-01    -.14769E-04         .000      .000
    .290    -.11591E-03    -.46331E-04    -.15473E+00    -.23537E-01    -.14801E-02         .000      .000
    .300    -.13687E-03    -.19388E-04     .51749E-01    -.15439E-01    -.26086E-02         .000      .000
