


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.72028E-06    -.23227E-09    -.12620E-05     .60821E-04    -.13736E-03         .000      .000
    .020    -.27870E-05    -.40052E-08    -.61534E-03     .33514E-03    -.29048E-03         .000      .000
    .030    -.65457E-05     .38441E-07    -.34026E-02     .10119E-02    -.44850E-03         .000      .000
    .040    -.11764E-04     .33788E-06    -.37166E-02     .73925E-03    -.60932E-03         .000      .000
    .050    -.18728E-04     .10426E-05     .72741E-02    -.20502E-02    -.76925E-03         .000      .000
    .060    -.27105E-04     .18661E-05     .29704E-01    -.66611E-02    -.91533E-03         .000      .000
    .070    -.37062E-04     .21564E-05     .53831E-01    -.11032E-01    -.10691E-02         .000      .000
    .080    -.48591E-04     .12730E-05     .71875E-01    -.13913E-01    -.12535E-02         .000      .000
    .090    -.62311E-04    -.12365E-05     .78841E-01    -.14416E-01    -.14910E-02         .000      .000
    .100    -.78793E-04    -.55332E-05     .71047E-01    -.11925E-01    -.18429E-02         .000      .000
    .110    -.99435E-04    -.11359E-04     .48961E-01    -.69056E-02    -.22749E-02         .000      .000
    .120    -.12405E-03    -.18038E-04     .19813E-01    -.11237E-02    -.26349E-02         .000      .000
    .130    -.15157E-03    -.24672E-04    -.31737E-02     .24668E-02    -.28284E-02         .000      .000
    .140    -.18033E-03    -.30593E-04    -.23710E-02     .66967E-03    -.29379E-02         .000      .000
    .150    -.21013E-03    -.36057E-04     .26374E-01    -.59909E-02    -.29848E-02         .000      .000
    .160    -.23967E-03    -.42340E-04     .60896E-01    -.12011E-01    -.29210E-02         .000      .000
    .170    -.26846E-03    -.50782E-04     .71330E-01    -.12279E-01    -.28299E-02         .000      .000
    .180    -.29613E-03    -.61808E-04     .49035E-01    -.63890E-02    -.26983E-02         .000      .000
    .190    -.32198E-03    -.74941E-04    -.25289E-02     .47915E-02    -.24349E-02         .000      .000
    .200    -.34361E-03    -.88962E-04    -.76488E-01     .19416E-01    -.18081E-02         .000      .000
    .210    -.35646E-03    -.10204E-03    -.15290E+00     .32794E-01    -.67872E-03         .000      .000
    .220    -.35628E-03    -.11245E-03    -.20421E+00     .40005E-01     .72212E-03         .000      .000
    .230    -.34249E-03    -.11961E-03    -.22313E+00     .41798E-01     .19818E-02         .000      .000
    .240    -.31881E-03    -.12426E-03    -.24235E+00     .46618E-01     .25941E-02         .000      .000
    .250    -.29183E-03    -.12679E-03    -.30732E+00     .62128E-01     .28425E-02         .000      .000
    .260    -.26204E-03    -.12537E-03    -.42094E+00     .85173E-01     .30635E-02         .000      .000
    .270    -.23152E-03    -.11580E-03    -.51262E+00     .98466E-01     .29904E-02         .000      .000
    .280    -.20286E-03    -.94459E-04    -.48337E+00     .84849E-01     .27285E-02         .000      .000
    .290    -.17781E-03    -.61899E-04    -.31622E+00     .46926E-01     .22127E-02         .000      .000
    .300    -.15927E-03    -.22398E-04    -.63644E-01    -.41038E-02     .15004E-02         .000      .000
