


 TIME HISTORY FOR STORY NO.  1



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.17433E-05    -.17433E-05    -.99064E-01     .25721E-01    -.28307E-03         .000      .000
    .020    -.51164E-05    -.51164E-05    -.24725E+00     .41562E-01    -.41065E-03         .000      .000
    .030    -.95729E-05    -.95729E-05    -.40402E+00     .48909E-01    -.43344E-03         .000      .000
    .040    -.13872E-04    -.13872E-04    -.51144E+00     .49713E-01    -.46677E-03         .000      .000
    .050    -.18574E-04    -.18574E-04    -.62192E+00     .49537E-01    -.41667E-03         .000      .000
    .060    -.22033E-04    -.22033E-04    -.64584E+00     .36101E-01    -.30242E-03         .000      .000
    .070    -.24606E-04    -.24606E-04    -.63301E+00     .23483E-01    -.18996E-03         .000      .000
    .080    -.26252E-04    -.26252E-04    -.59207E+00     .15405E-01    -.18967E-03         .000      .000
    .090    -.28666E-04    -.28666E-04    -.62439E+00     .23603E-01    -.27783E-03         .000      .000
    .100    -.32600E-04    -.32600E-04    -.75236E+00     .53110E-01    -.58510E-03         .000      .000
    .110    -.40046E-04    -.40046E-04    -.10509E+01     .96146E-01    -.82491E-03         .000      .000
    .120    -.48037E-04    -.48037E-04    -.12974E+01     .10737E+00    -.74547E-03         .000      .000
    .130    -.53895E-04    -.53895E-04    -.13690E+01     .84949E-01    -.35717E-03         .000      .000
    .140    -.55679E-04    -.55679E-04    -.12206E+01     .52144E-01    -.88446E-04         .000      .000
    .150    -.55370E-04    -.55370E-04    -.10061E+01     .19083E-01     .23709E-03         .000      .000
    .160    -.50872E-04    -.50872E-04    -.60115E+00    -.38419E-01     .60440E-03         .000      .000
    .170    -.44297E-04    -.44297E-04    -.17820E+00    -.74087E-01     .67341E-03         .000      .000
    .180    -.38034E-04    -.38034E-04     .12892E+00    -.82849E-01     .55441E-03         .000      .000
    .190    -.32722E-04    -.32722E-04     .31478E+00    -.81914E-01     .56620E-03         .000      .000
    .200    -.24757E-04    -.24757E-04     .60208E+00    -.11685E+00     .11438E-02         .000      .000
    .210    -.83717E-05    -.83717E-05     .12613E+01    -.20285E+00     .21711E-02         .000      .000
    .220     .17229E-04     .17229E-04     .22216E+01    -.27819E+00     .28069E-02         .000      .000
    .230     .44619E-04     .44619E-04     .30373E+01    -.27512E+00     .25120E-02         .000      .000
    .240     .62578E-04     .62578E-04     .32259E+01    -.14911E+00     .78546E-03         .000      .000
    .250     .61565E-04     .61565E-04     .25603E+01     .36494E-02    -.68771E-03         .000      .000
    .260     .49772E-04     .49772E-04     .17312E+01     .87436E-01    -.18068E-02         .000      .000
    .270     .24165E-04     .24165E-04     .48027E+00     .22449E+00    -.33070E-02         .000      .000
    .280    -.13665E-04    -.13665E-04    -.10465E+01     .33108E+00    -.40522E-02         .000      .000
    .290    -.54818E-04    -.54818E-04    -.23313E+01     .35221E+00    -.41605E-02         .000      .000
    .300    -.94682E-04    -.94682E-04    -.32392E+01     .29037E+00    -.36446E-02         .000      .000
