


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.11521E-05    -.60683E-10    -.23339E-03     .17538E-03    -.21960E-03         .000      .000
    .020    -.44529E-05     .44846E-07    -.14376E-02     .11144E-03    -.46445E-03         .000      .000
    .030    -.10535E-04     .31929E-06     .61205E-02    -.25396E-02    -.73784E-03         .000      .000
    .040    -.19363E-04     .78701E-06     .27908E-01    -.59871E-02    -.10557E-02         .000      .000
    .050    -.31633E-04     .10210E-05     .52605E-01    -.57542E-02    -.13676E-02         .000      .000
    .060    -.46354E-04     .57249E-06     .70795E-01    -.20282E-02    -.15725E-02         .000      .000
    .070    -.62750E-04    -.85999E-06     .87667E-01     .13762E-02    -.16781E-02         .000      .000
    .080    -.79782E-04    -.36918E-05     .98760E-01     .41396E-02    -.17431E-02         .000      .000
    .090    -.97719E-04    -.82442E-05     .96323E-01     .61111E-02    -.18404E-02         .000      .000
    .100    -.11722E-03    -.14489E-04     .80681E-01     .59993E-02    -.21256E-02         .000      .000
    .110    -.14092E-03    -.22067E-04     .60421E-01     .29113E-02    -.26171E-02         .000      .000
    .120    -.16962E-03    -.30467E-04     .45168E-01    -.27278E-02    -.31264E-02         .000      .000
    .130    -.20304E-03    -.39306E-04     .48377E-01    -.88059E-02    -.35122E-02         .000      .000
    .140    -.23959E-03    -.48868E-04     .59959E-01    -.78684E-02    -.38127E-02         .000      .000
    .150    -.27851E-03    -.59835E-04     .54524E-01     .34095E-02    -.38783E-02         .000      .000
    .160    -.31573E-03    -.72515E-04     .25389E-01     .16840E-01    -.35215E-02         .000      .000
    .170    -.34828E-03    -.86778E-04    -.99660E-02     .22900E-01    -.29677E-02         .000      .000
    .180    -.37491E-03    -.10262E-03    -.62675E-01     .24413E-01    -.23620E-02         .000      .000
    .190    -.39527E-03    -.11950E-03    -.14383E+00     .22853E-01    -.16812E-02         .000      .000
    .200    -.40744E-03    -.13607E-03    -.23138E+00     .15923E-01    -.67174E-03         .000      .000
    .210    -.40707E-03    -.15095E-03    -.30657E+00     .80061E-02     .82819E-03         .000      .000
    .220    -.39013E-03    -.16351E-03    -.38400E+00     .10095E-01     .25554E-02         .000      .000
    .230    -.35661E-03    -.17334E-03    -.49702E+00     .26821E-01     .40886E-02         .000      .000
    .240    -.31129E-03    -.17905E-03    -.64442E+00     .44171E-01     .47364E-02         .000      .000
    .250    -.26406E-03    -.17785E-03    -.76759E+00     .39971E-01     .47247E-02         .000      .000
    .260    -.21867E-03    -.16673E-03    -.78792E+00     .52355E-02     .41501E-02         .000      .000
    .270    -.18516E-03    -.14449E-03    -.66704E+00    -.37209E-01     .23632E-02         .000      .000
    .280    -.17344E-03    -.11292E-03    -.48078E+00    -.49147E-01    -.23630E-04         .000      .000
    .290    -.18545E-03    -.74130E-04    -.24756E+00    -.37660E-01    -.23681E-02         .000      .000
    .300    -.21899E-03    -.31021E-04     .82799E-01    -.24702E-01    -.41738E-02         .000      .000
