


 TIME HISTORY FOR STORY NO.  1



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.92977E-06    -.92977E-06    -.52834E-01     .13718E-01    -.15097E-03         .000      .000
    .020    -.27287E-05    -.27287E-05    -.13187E+00     .22166E-01    -.21901E-03         .000      .000
    .030    -.51056E-05    -.51056E-05    -.21548E+00     .26085E-01    -.23117E-03         .000      .000
    .040    -.73983E-05    -.73983E-05    -.27277E+00     .26514E-01    -.24894E-03         .000      .000
    .050    -.99060E-05    -.99060E-05    -.33169E+00     .26420E-01    -.22223E-03         .000      .000
    .060    -.11751E-04    -.11751E-04    -.34445E+00     .19254E-01    -.16129E-03         .000      .000
    .070    -.13123E-04    -.13123E-04    -.33761E+00     .12524E-01    -.10131E-03         .000      .000
    .080    -.14001E-04    -.14001E-04    -.31577E+00     .82160E-02    -.10116E-03         .000      .000
    .090    -.15288E-04    -.15288E-04    -.33301E+00     .12588E-01    -.14818E-03         .000      .000
    .100    -.17387E-04    -.17387E-04    -.40126E+00     .28325E-01    -.31205E-03         .000      .000
    .110    -.21358E-04    -.21358E-04    -.56048E+00     .51278E-01    -.43995E-03         .000      .000
    .120    -.25620E-04    -.25620E-04    -.69194E+00     .57263E-01    -.39758E-03         .000      .000
    .130    -.28744E-04    -.28744E-04    -.73013E+00     .45306E-01    -.19049E-03         .000      .000
    .140    -.29696E-04    -.29696E-04    -.65099E+00     .27810E-01    -.47171E-04         .000      .000
    .150    -.29531E-04    -.29531E-04    -.53656E+00     .10178E-01     .12645E-03         .000      .000
    .160    -.27132E-04    -.27132E-04    -.32062E+00    -.20490E-01     .32235E-03         .000      .000
    .170    -.23625E-04    -.23625E-04    -.95039E-01    -.39513E-01     .35915E-03         .000      .000
    .180    -.20285E-04    -.20285E-04     .68758E-01    -.44186E-01     .29568E-03         .000      .000
    .190    -.17452E-04    -.17452E-04     .16788E+00    -.43688E-01     .30197E-03         .000      .000
    .200    -.13204E-04    -.13204E-04     .32111E+00    -.62322E-01     .61005E-03         .000      .000
    .210    -.44649E-05    -.44649E-05     .67269E+00    -.10819E+00     .11579E-02         .000      .000
    .220     .91887E-05     .91887E-05     .11849E+01    -.14837E+00     .14970E-02         .000      .000
    .230     .23797E-04     .23797E-04     .16199E+01    -.14673E+00     .13397E-02         .000      .000
    .240     .33375E-04     .33375E-04     .17205E+01    -.79524E-01     .41891E-03         .000      .000
    .250     .32835E-04     .32835E-04     .13655E+01     .19463E-02    -.36678E-03         .000      .000
    .260     .26545E-04     .26545E-04     .92333E+00     .46633E-01    -.96362E-03         .000      .000
    .270     .12888E-04     .12888E-04     .25615E+00     .11973E+00    -.17637E-02         .000      .000
    .280    -.72880E-05    -.72880E-05    -.55811E+00     .17658E+00    -.21611E-02         .000      .000
    .290    -.29236E-04    -.29236E-04    -.12433E+01     .18784E+00    -.22189E-02         .000      .000
    .300    -.50497E-04    -.50497E-04    -.17276E+01     .15486E+00    -.19438E-02         .000      .000
