


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.14593E-05     .29489E-07     .11079E-01    -.24321E-02    -.22952E-04         .000      .000
    .020    -.41756E-06    -.43238E-06    -.84036E-02     .55613E-02    -.49984E-04         .000      .000
    .030    -.23662E-05    -.45306E-06    -.30112E-02    -.32785E-02    -.58034E-04         .000      .000
    .040    -.18355E-05    -.69442E-06     .14410E-02     .26668E-02    -.12977E-03         .000      .000
    .050    -.49969E-05    -.10054E-05     .23345E-02    -.23401E-02    -.22616E-03         .000      .000
    .060    -.66973E-05    -.17553E-05     .37364E-02     .43613E-02    -.41073E-03         .000      .000
    .070    -.13129E-04    -.28445E-05     .85609E-02     .15185E-03    -.58312E-03         .000      .000
    .080    -.18512E-04    -.49671E-05     .14047E-03     .96742E-02    -.78811E-03         .000      .000
    .090    -.28757E-04    -.78804E-05    -.16697E-01     .71545E-02    -.96671E-03         .000      .000
    .100    -.38042E-04    -.11904E-04    -.41916E-01     .16598E-01    -.11906E-02         .000      .000
    .110    -.52446E-04    -.16665E-04    -.67384E-01     .14003E-01    -.13905E-02         .000      .000
    .120    -.66035E-04    -.22543E-04    -.99004E-01     .24804E-01    -.16316E-02         .000      .000
    .130    -.84874E-04    -.29167E-04    -.12808E+00     .23409E-01    -.18256E-02         .000      .000
    .140    -.10253E-03    -.36968E-04    -.16146E+00     .35099E-01    -.20004E-02         .000      .000
    .150    -.12299E-03    -.45647E-04    -.20257E+00     .35667E-01    -.16193E-02         .000      .000
    .160    -.13418E-03    -.55208E-04    -.29957E+00     .52564E-01    -.10085E-02         .000      .000
    .170    -.14591E-03    -.62757E-04    -.34880E+00     .30550E-01    -.12464E-02         .000      .000
    .180    -.16297E-03    -.68014E-04    -.22045E+00     .51546E-02    -.26103E-02         .000      .000
    .190    -.19978E-03    -.75614E-04    -.47685E-01     .12770E-02    -.44753E-02         .000      .000
    .200    -.25215E-03    -.91231E-04    -.14402E-01     .45684E-01    -.62391E-02         .000      .000
    .210    -.32176E-03    -.11606E-03    -.12923E+00     .79604E-01    -.71848E-02         .000      .000
    .220    -.39263E-03    -.14953E-03    -.38577E+00     .11464E+00    -.71554E-02         .000      .000
    .230    -.46343E-03    -.18782E-03    -.73885E+00     .11822E+00    -.67137E-02         .000      .000
    .240    -.52734E-03    -.22586E-03    -.10421E+01     .11514E+00    -.63837E-02         .000      .000
    .250    -.59125E-03    -.25981E-03    -.12029E+01     .10372E+00    -.61018E-02         .000      .000
    .260    -.64690E-03    -.28941E-03    -.12489E+01     .11922E+00    -.50628E-02         .000      .000
    .270    -.68473E-03    -.31499E-03    -.12918E+01     .13593E+00    -.17127E-02         .000      .000
    .280    -.67492E-03    -.33475E-03    -.14450E+01     .14540E+00     .34969E-02         .000      .000
    .290    -.61488E-03    -.34019E-03    -.14944E+01     .57804E-01     .86533E-02         .000      .000
    .300    -.50804E-03    -.32536E-03    -.11961E+01    -.78441E-01     .11997E-01         .000      .000
