


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.71594E-06     .14492E-10    -.24501E-03     .80049E-04    -.60600E-05         .000      .000
    .020    -.12955E-06     .37394E-07     .45716E-03    -.47361E-03    -.25861E-04         .000      .000
    .030    -.12514E-05     .64868E-07     .44820E-02    -.50664E-03    -.49310E-04         .000      .000
    .040    -.11052E-05    -.26843E-07    -.90799E-03     .94173E-03    -.71794E-04         .000      .000
    .050    -.27891E-05    -.27926E-07     .23313E-02    -.19433E-03    -.12376E-03         .000      .000
    .060    -.37167E-05    -.60195E-07     .33626E-02    -.35483E-03    -.21684E-03         .000      .000
    .070    -.71896E-05    -.88708E-07     .79512E-02    -.11142E-02    -.32837E-03         .000      .000
    .080    -.10343E-04    -.18075E-06     .10623E-01    -.11020E-02    -.45839E-03         .000      .000
    .090    -.16443E-04    -.31980E-06     .20624E-01    -.18629E-02    -.61292E-03         .000      .000
    .100    -.22675E-04    -.73013E-06     .26191E-01    -.83363E-03    -.79066E-03         .000      .000
    .110    -.32303E-04    -.14483E-05     .36001E-01    -.68179E-03    -.98182E-03         .000      .000
    .120    -.42378E-04    -.26728E-05     .41997E-01     .88238E-04    -.11939E-02         .000      .000
    .130    -.56235E-04    -.44587E-05     .52687E-01    -.50672E-03    -.14211E-02         .000      .000
    .140    -.70802E-04    -.70365E-05     .57597E-01    -.63172E-04    -.16497E-02         .000      .000
    .150    -.88454E-04    -.10447E-04     .65693E-01    -.66069E-03    -.16453E-02         .000      .000
    .160    -.10343E-03    -.14933E-04     .67904E-01     .18973E-03    -.15593E-02         .000      .000
    .170    -.12105E-03    -.20749E-04     .63296E-01     .38387E-02    -.18939E-02         .000      .000
    .180    -.14244E-03    -.28068E-04     .22979E-01     .11716E-01    -.25722E-02         .000      .000
    .190    -.17298E-03    -.35713E-04    -.77510E-02     .71095E-02    -.34001E-02         .000      .000
    .200    -.21101E-03    -.42730E-04     .13073E-01    -.98761E-02    -.43932E-02         .000      .000
    .210    -.26079E-03    -.49566E-04     .72549E-01    -.21564E-01    -.53617E-02         .000      .000
    .220    -.31722E-03    -.57567E-04     .11845E+00    -.14558E-01    -.60247E-02         .000      .000
    .230    -.38055E-03    -.67720E-04     .15363E+00     .25326E-02    -.64690E-02         .000      .000
    .240    -.44606E-03    -.81204E-04     .16156E+00     .22526E-01    -.67556E-02         .000      .000
    .250    -.51510E-03    -.98590E-04     .14599E+00     .32331E-01    -.68773E-02         .000      .000
    .260    -.58224E-03    -.11985E-03     .11480E+00     .27398E-01    -.65899E-02         .000      .000
    .270    -.64375E-03    -.14462E-03     .81410E-01     .13262E-01    -.53538E-02         .000      .000
    .280    -.68685E-03    -.17296E-03     .16984E-01     .85437E-02    -.33739E-02         .000      .000
    .290    -.71058E-03    -.20496E-03    -.12022E+00     .26616E-01    -.11971E-02         .000      .000
    .300    -.71081E-03    -.23956E-03    -.37476E+00     .60442E-01     .96199E-03         .000      .000
