


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.12508E-05     .25277E-07     .94964E-02    -.20847E-02    -.19673E-04         .000      .000
    .020    -.35790E-06    -.37061E-06    -.72031E-02     .47668E-02    -.42843E-04         .000      .000
    .030    -.20281E-05    -.38833E-06    -.25810E-02    -.28101E-02    -.49743E-04         .000      .000
    .040    -.15733E-05    -.59522E-06     .12352E-02     .22858E-02    -.11123E-03         .000      .000
    .050    -.42831E-05    -.86181E-06     .20010E-02    -.20058E-02    -.19385E-03         .000      .000
    .060    -.57406E-05    -.15045E-05     .32026E-02     .37382E-02    -.35205E-03         .000      .000
    .070    -.11253E-04    -.24382E-05     .73379E-02     .13016E-03    -.49982E-03         .000      .000
    .080    -.15867E-04    -.42575E-05     .12040E-03     .82921E-02    -.67553E-03         .000      .000
    .090    -.24649E-04    -.67547E-05    -.14312E-01     .61324E-02    -.82861E-03         .000      .000
    .100    -.32607E-04    -.10203E-04    -.35928E-01     .14227E-01    -.10205E-02         .000      .000
    .110    -.44953E-04    -.14285E-04    -.57758E-01     .12002E-01    -.11919E-02         .000      .000
    .120    -.56601E-04    -.19322E-04    -.84861E-01     .21260E-01    -.13985E-02         .000      .000
    .130    -.72749E-04    -.25001E-04    -.10979E+00     .20065E-01    -.15648E-02         .000      .000
    .140    -.87882E-04    -.31687E-04    -.13840E+00     .30084E-01    -.17146E-02         .000      .000
    .150    -.10542E-03    -.39126E-04    -.17363E+00     .30572E-01    -.13880E-02         .000      .000
    .160    -.11501E-03    -.47321E-04    -.25678E+00     .45055E-01    -.86439E-03         .000      .000
    .170    -.12507E-03    -.53792E-04    -.29897E+00     .26186E-01    -.10683E-02         .000      .000
    .180    -.13969E-03    -.58297E-04    -.18896E+00     .44182E-02    -.22374E-02         .000      .000
    .190    -.17124E-03    -.64812E-04    -.40873E-01     .10946E-02    -.38360E-02         .000      .000
    .200    -.21613E-03    -.78198E-04    -.12345E-01     .39157E-01    -.53478E-02         .000      .000
    .210    -.27579E-03    -.99482E-04    -.11076E+00     .68232E-01    -.61584E-02         .000      .000
    .220    -.33654E-03    -.12817E-03    -.33066E+00     .98266E-01    -.61332E-02         .000      .000
    .230    -.39723E-03    -.16099E-03    -.63330E+00     .10133E+00    -.57546E-02         .000      .000
    .240    -.45201E-03    -.19360E-03    -.89320E+00     .98690E-01    -.54717E-02         .000      .000
    .250    -.50678E-03    -.22270E-03    -.10311E+01     .88901E-01    -.52302E-02         .000      .000
    .260    -.55448E-03    -.24806E-03    -.10705E+01     .10219E+00    -.43396E-02         .000      .000
    .270    -.58691E-03    -.26999E-03    -.11073E+01     .11651E+00    -.14680E-02         .000      .000
    .280    -.57850E-03    -.28693E-03    -.12386E+01     .12463E+00     .29973E-02         .000      .000
    .290    -.52704E-03    -.29160E-03    -.12809E+01     .49546E-01     .74171E-02         .000      .000
    .300    -.43546E-03    -.27888E-03    -.10252E+01    -.67235E-01     .10283E-01         .000      .000
