


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.12273E-05     .24844E-10    -.42001E-03     .13723E-03    -.10389E-04         .000      .000
    .020    -.22209E-06     .64104E-07     .78370E-03    -.81190E-03    -.44333E-04         .000      .000
    .030    -.21453E-05     .11120E-06     .76834E-02    -.86853E-03    -.84531E-04         .000      .000
    .040    -.18946E-05    -.46017E-07    -.15566E-02     .16144E-02    -.12308E-03         .000      .000
    .050    -.47813E-05    -.47874E-07     .39964E-02    -.33313E-03    -.21215E-03         .000      .000
    .060    -.63714E-05    -.10319E-06     .57645E-02    -.60828E-03    -.37173E-03         .000      .000
    .070    -.12325E-04    -.15207E-06     .13631E-01    -.19101E-02    -.56291E-03         .000      .000
    .080    -.17730E-04    -.30985E-06     .18212E-01    -.18892E-02    -.78581E-03         .000      .000
    .090    -.28189E-04    -.54823E-06     .35356E-01    -.31935E-02    -.10507E-02         .000      .000
    .100    -.38872E-04    -.12516E-05     .44898E-01    -.14291E-02    -.13554E-02         .000      .000
    .110    -.55377E-04    -.24828E-05     .61717E-01    -.11688E-02    -.16831E-02         .000      .000
    .120    -.72648E-04    -.45820E-05     .71995E-01     .15127E-03    -.20467E-02         .000      .000
    .130    -.96403E-04    -.76435E-05     .90320E-01    -.86866E-03    -.24362E-02         .000      .000
    .140    -.12137E-03    -.12063E-04     .98738E-01    -.10829E-03    -.28280E-02         .000      .000
    .150    -.15164E-03    -.17909E-04     .11262E+00    -.11326E-02    -.28205E-02         .000      .000
    .160    -.17731E-03    -.25600E-04     .11641E+00     .32526E-03    -.26731E-02         .000      .000
    .170    -.20752E-03    -.35570E-04     .10851E+00     .65806E-02    -.32467E-02         .000      .000
    .180    -.24419E-03    -.48117E-04     .39393E-01     .20085E-01    -.44095E-02         .000      .000
    .190    -.29654E-03    -.61223E-04    -.13287E-01     .12188E-01    -.58287E-02         .000      .000
    .200    -.36173E-03    -.73252E-04     .22411E-01    -.16930E-01    -.75312E-02         .000      .000
    .210    -.44707E-03    -.84970E-04     .12437E+00    -.36966E-01    -.91915E-02         .000      .000
    .220    -.54381E-03    -.98686E-04     .20306E+00    -.24956E-01    -.10328E-01         .000      .000
    .230    -.65237E-03    -.11609E-03     .26336E+00     .43416E-02    -.11090E-01         .000      .000
    .240    -.76467E-03    -.13921E-03     .27696E+00     .38615E-01    -.11581E-01         .000      .000
    .250    -.88303E-03    -.16901E-03     .25027E+00     .55425E-01    -.11790E-01         .000      .000
    .260    -.99812E-03    -.20545E-03     .19679E+00     .46968E-01    -.11297E-01         .000      .000
    .270    -.11036E-02    -.24792E-03     .13956E+00     .22734E-01    -.91779E-02         .000      .000
    .280    -.11775E-02    -.29650E-03     .29115E-01     .14646E-01    -.57837E-02         .000      .000
    .290    -.12181E-02    -.35136E-03    -.20609E+00     .45627E-01    -.20521E-02         .000      .000
    .300    -.12185E-02    -.41067E-03    -.64244E+00     .10362E+00     .16491E-02         .000      .000
