


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.21889E-05     .44234E-07     .16619E-01    -.36482E-02    -.34428E-04         .000      .000
    .020    -.62633E-06    -.64857E-06    -.12605E-01     .83420E-02    -.74976E-04         .000      .000
    .030    -.35493E-05    -.67958E-06    -.45168E-02    -.49177E-02    -.87050E-04         .000      .000
    .040    -.27533E-05    -.10416E-05     .21615E-02     .40002E-02    -.19466E-03         .000      .000
    .050    -.74954E-05    -.15082E-05     .35017E-02    -.35102E-02    -.33923E-03         .000      .000
    .060    -.10046E-04    -.26329E-05     .56046E-02     .65419E-02    -.61609E-03         .000      .000
    .070    -.19693E-04    -.42668E-05     .12841E-01     .22778E-03    -.87468E-03         .000      .000
    .080    -.27767E-04    -.74506E-05     .21071E-03     .14511E-01    -.11822E-02         .000      .000
    .090    -.43136E-04    -.11821E-04    -.25045E-01     .10732E-01    -.14501E-02         .000      .000
    .100    -.57063E-04    -.17856E-04    -.62873E-01     .24897E-01    -.17859E-02         .000      .000
    .110    -.78669E-04    -.24998E-04    -.10108E+00     .21004E-01    -.20858E-02         .000      .000
    .120    -.99052E-04    -.33814E-04    -.14851E+00     .37205E-01    -.24473E-02         .000      .000
    .130    -.12731E-03    -.43751E-04    -.19213E+00     .35114E-01    -.27385E-02         .000      .000
    .140    -.15379E-03    -.55453E-04    -.24219E+00     .52648E-01    -.30006E-02         .000      .000
    .150    -.18448E-03    -.68471E-04    -.30385E+00     .53501E-01    -.24290E-02         .000      .000
    .160    -.20127E-03    -.82812E-04    -.44936E+00     .78846E-01    -.15127E-02         .000      .000
    .170    -.21887E-03    -.94136E-04    -.52319E+00     .45825E-01    -.18696E-02         .000      .000
    .180    -.24445E-03    -.10202E-03    -.33068E+00     .77319E-02    -.39155E-02         .000      .000
    .190    -.29967E-03    -.11342E-03    -.71527E-01     .19155E-02    -.67130E-02         .000      .000
    .200    -.37822E-03    -.13685E-03    -.21604E-01     .68525E-01    -.93586E-02         .000      .000
    .210    -.48263E-03    -.17409E-03    -.19384E+00     .11941E+00    -.10777E-01         .000      .000
    .220    -.58895E-03    -.22430E-03    -.57865E+00     .17197E+00    -.10733E-01         .000      .000
    .230    -.69515E-03    -.28173E-03    -.11083E+01     .17733E+00    -.10071E-01         .000      .000
    .240    -.79101E-03    -.33879E-03    -.15631E+01     .17271E+00    -.95755E-02         .000      .000
    .250    -.88687E-03    -.38972E-03    -.18044E+01     .15558E+00    -.91528E-02         .000      .000
    .260    -.97034E-03    -.43411E-03    -.18733E+01     .17883E+00    -.75942E-02         .000      .000
    .270    -.10271E-02    -.47249E-03    -.19377E+01     .20390E+00    -.25690E-02         .000      .000
    .280    -.10124E-02    -.50213E-03    -.21675E+01     .21810E+00     .52453E-02         .000      .000
    .290    -.92232E-03    -.51029E-03    -.22417E+01     .86706E-01     .12980E-01         .000      .000
    .300    -.76205E-03    -.48804E-03    -.17942E+01    -.11766E+00     .17995E-01         .000      .000
