


 TIME HISTORY FOR STORY NO.  1



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.36647E-06    -.36647E-06    -.19251E-01     .91848E-03     .28161E-04         .000      .000
    .020     .19223E-06     .19223E-06     .16654E-01    -.17890E-02    -.28152E-04         .000      .000
    .030    -.48967E-06    -.48967E-06    -.26631E-01     .35243E-02     .87755E-05         .000      .000
    .040    -.33678E-07    -.33678E-07     .67967E-02    -.75551E-03    -.35529E-04         .000      .000
    .050    -.85404E-06    -.85404E-06    -.40757E-01     .55284E-02    -.14143E-04         .000      .000
    .060    -.71506E-06    -.71506E-06    -.20409E-01     .30708E-02    -.74374E-04         .000      .000
    .070    -.19176E-05    -.19176E-05    -.80113E-01     .93310E-02    -.46472E-04         .000      .000
    .080    -.20336E-05    -.20336E-05    -.62551E-01     .58139E-02    -.95825E-04         .000      .000
    .090    -.34404E-05    -.34404E-05    -.12357E+00     .11931E-01    -.66433E-04         .000      .000
    .100    -.37749E-05    -.37749E-05    -.10847E+00     .85958E-02    -.12123E-03         .000      .000
    .110    -.54603E-05    -.54603E-05    -.17451E+00     .14840E-01    -.94559E-04         .000      .000
    .120    -.60855E-05    -.60855E-05    -.16428E+00     .11618E-01    -.15332E-03         .000      .000
    .130    -.80959E-05    -.80959E-05    -.23714E+00     .18092E-01    -.12378E-03         .000      .000
    .140    -.89348E-05    -.89348E-05    -.22768E+00     .13929E-01    -.16569E-03         .000      .000
    .150    -.10500E-04    -.10500E-04    -.26584E+00     .93471E-02     .15796E-04         .000      .000
    .160    -.93620E-05    -.93620E-05    -.15477E+00    -.62040E-02     .33563E-04         .000      .000
    .170    -.10352E-04    -.10352E-04    -.20841E+00     .16885E-01    -.14463E-03         .000      .000
    .180    -.12715E-04    -.12715E-04    -.31487E+00     .41146E-01    -.43274E-03         .000      .000
    .190    -.18199E-04    -.18199E-04    -.54503E+00     .64299E-01    -.52195E-03         .000      .000
    .200    -.23274E-04    -.23274E-04    -.67646E+00     .66411E-01    -.60519E-03         .000      .000
    .210    -.29384E-04    -.29384E-04    -.83259E+00     .65392E-01    -.45860E-03         .000      .000
    .220    -.32550E-04    -.32550E-04    -.79692E+00     .41198E-01    -.29741E-03         .000      .000
    .230    -.35348E-04    -.35348E-04    -.77355E+00     .31915E-01    -.17347E-03         .000      .000
    .240    -.36786E-04    -.36786E-04    -.68819E+00     .21908E-01    -.24356E-03         .000      .000
    .250    -.39935E-04    -.39935E-04    -.71614E+00     .23705E-01    -.26861E-03         .000      .000
    .260    -.41808E-04    -.41808E-04    -.66371E+00     .45916E-02    -.16140E-03         .000      .000
    .270    -.41244E-04    -.41244E-04    -.51580E+00    -.39800E-01     .47500E-03         .000      .000
    .280    -.32751E-04    -.32751E-04    -.32963E-01    -.10270E+00     .10455E-02         .000      .000
    .290    -.20999E-04    -.20999E-04     .42843E+00    -.12222E+00     .13791E-02         .000      .000
    .300    -.66126E-05    -.66126E-05     .89823E+00    -.12320E+00     .13192E-02         .000      .000
