


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.93809E-06     .18957E-07     .71223E-02    -.15635E-02    -.14755E-04         .000      .000
    .020    -.26843E-06    -.27796E-06    -.54023E-02     .35751E-02    -.32133E-04         .000      .000
    .030    -.15211E-05    -.29125E-06    -.19358E-02    -.21076E-02    -.37307E-04         .000      .000
    .040    -.11800E-05    -.44641E-06     .92638E-03     .17144E-02    -.83426E-04         .000      .000
    .050    -.32123E-05    -.64636E-06     .15007E-02    -.15044E-02    -.14539E-03         .000      .000
    .060    -.43054E-05    -.11284E-05     .24020E-02     .28037E-02    -.26404E-03         .000      .000
    .070    -.84400E-05    -.18286E-05     .55034E-02     .97620E-04    -.37486E-03         .000      .000
    .080    -.11900E-04    -.31931E-05     .90303E-04     .62191E-02    -.50664E-03         .000      .000
    .090    -.18487E-04    -.50660E-05    -.10734E-01     .45993E-02    -.62146E-03         .000      .000
    .100    -.24455E-04    -.76526E-05    -.26946E-01     .10670E-01    -.76539E-03         .000      .000
    .110    -.33715E-04    -.10713E-04    -.43318E-01     .90019E-02    -.89392E-03         .000      .000
    .120    -.42451E-04    -.14492E-04    -.63646E-01     .15945E-01    -.10489E-02         .000      .000
    .130    -.54562E-04    -.18750E-04    -.82340E-01     .15049E-01    -.11736E-02         .000      .000
    .140    -.65911E-04    -.23765E-04    -.10380E+00     .22563E-01    -.12860E-02         .000      .000
    .150    -.79063E-04    -.29345E-04    -.13022E+00     .22929E-01    -.10410E-02         .000      .000
    .160    -.86259E-04    -.35491E-04    -.19258E+00     .33791E-01    -.64829E-03         .000      .000
    .170    -.93799E-04    -.40344E-04    -.22423E+00     .19639E-01    -.80124E-03         .000      .000
    .180    -.10476E-03    -.43723E-04    -.14172E+00     .33137E-02    -.16781E-02         .000      .000
    .190    -.12843E-03    -.48609E-04    -.30654E-01     .82093E-03    -.28770E-02         .000      .000
    .200    -.16210E-03    -.58649E-04    -.92587E-02     .29368E-01    -.40108E-02         .000      .000
    .210    -.20684E-03    -.74611E-04    -.83073E-01     .51174E-01    -.46188E-02         .000      .000
    .220    -.25241E-03    -.96129E-04    -.24799E+00     .73700E-01    -.45999E-02         .000      .000
    .230    -.29792E-03    -.12074E-03    -.47497E+00     .76000E-01    -.43159E-02         .000      .000
    .240    -.33900E-03    -.14520E-03    -.66990E+00     .74017E-01    -.41038E-02         .000      .000
    .250    -.38009E-03    -.16702E-03    -.77331E+00     .66675E-01    -.39226E-02         .000      .000
    .260    -.41586E-03    -.18605E-03    -.80286E+00     .76640E-01    -.32547E-02         .000      .000
    .270    -.44018E-03    -.20249E-03    -.83046E+00     .87385E-01    -.11010E-02         .000      .000
    .280    -.43388E-03    -.21520E-03    -.92894E+00     .93472E-01     .22480E-02         .000      .000
    .290    -.39528E-03    -.21870E-03    -.96071E+00     .37160E-01     .55628E-02         .000      .000
    .300    -.32659E-03    -.20916E-03    -.76892E+00    -.50427E-01     .77120E-02         .000      .000
