


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.92101E-06    -.52268E-09    -.84679E-05     .10788E-04    -.80403E-05         .000      .000
    .020    -.16861E-06    -.20460E-08    -.10109E-02     .30849E-03    -.31617E-04         .000      .000
    .030    -.15295E-05     .79445E-07    -.33399E-03    -.17103E-03    -.49307E-04         .000      .000
    .040    -.12404E-05     .18056E-06     .45199E-02    -.92411E-03    -.90928E-04         .000      .000
    .050    -.34650E-05     .12093E-06     .31388E-02    -.41053E-03    -.16874E-03         .000      .000
    .060    -.47580E-05     .20502E-07     .19014E-02    -.16227E-03    -.28876E-03         .000      .000
    .070    -.92805E-05    -.36765E-07     .12520E-02    -.14996E-03    -.42180E-03         .000      .000
    .080    -.13286E-04     .11036E-07     .46321E-02    -.84339E-03    -.58160E-03         .000      .000
    .090    -.21012E-04     .12939E-06     .10283E-01    -.21669E-02    -.77240E-03         .000      .000
    .100    -.28925E-04     .22928E-06     .23048E-01    -.47194E-02    -.10190E-02         .000      .000
    .110    -.41548E-04    -.15156E-07     .36609E-01    -.72327E-02    -.13130E-02         .000      .000
    .120    -.55396E-04    -.90992E-06     .50437E-01    -.95371E-02    -.16690E-02         .000      .000
    .130    -.75040E-04    -.27372E-05     .59603E-01    -.11013E-01    -.20595E-02         .000      .000
    .140    -.96652E-04    -.56218E-05     .68311E-01    -.12378E-01    -.24691E-02         .000      .000
    .150    -.12344E-03    -.97114E-05     .73996E-01    -.13433E-01    -.25854E-02         .000      .000
    .160    -.14807E-03    -.15088E-04     .82003E-01    -.15070E-01    -.26148E-02         .000      .000
    .170    -.17766E-03    -.22024E-04     .93168E-01    -.17303E-01    -.32233E-02         .000      .000
    .180    -.21437E-03    -.31229E-04     .99205E-01    -.16472E-01    -.43765E-02         .000      .000
    .190    -.26573E-03    -.43327E-04     .53941E-01    -.38409E-02    -.56907E-02         .000      .000
    .200    -.32783E-03    -.56537E-04    -.33367E-01     .13707E-01    -.69046E-02         .000      .000
    .210    -.40259E-03    -.67285E-04    -.76645E-01     .17018E-01    -.77556E-02         .000      .000
    .220    -.48184E-03    -.73987E-04    -.45883E-02    -.29056E-02    -.82733E-02         .000      .000
    .230    -.56859E-03    -.79314E-04     .15333E+00    -.35689E-01    -.89470E-02         .000      .000
    .240    -.66206E-03    -.88550E-04     .32017E+00    -.64926E-01    -.99957E-02         .000      .000
    .250    -.76915E-03    -.10688E-03     .40386E+00    -.73953E-01    -.11234E-01         .000      .000
    .260    -.88498E-03    -.13639E-03     .36023E+00    -.58447E-01    -.11946E-01         .000      .000
    .270    -.10027E-02    -.17503E-03     .22099E+00    -.29519E-01    -.11060E-01         .000      .000
    .280    -.11016E-02    -.21850E-03     .78394E-01    -.56050E-02    -.88032E-02         .000      .000
    .290    -.11776E-02    -.26398E-03    -.60836E-02     .58196E-02    -.61911E-02         .000      .000
    .300    -.12264E-02    -.31248E-03    -.78153E-01     .21706E-01    -.38590E-02         .000      .000
