


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.27362E-05    -.14412E-09    -.55430E-03     .41653E-03    -.52154E-03         .000      .000
    .020    -.10576E-04     .10651E-06    -.34143E-02     .26468E-03    -.11031E-02         .000      .000
    .030    -.25020E-04     .75830E-06     .14536E-01    -.60316E-02    -.17524E-02         .000      .000
    .040    -.45988E-04     .18691E-05     .66281E-01    -.14219E-01    -.25074E-02         .000      .000
    .050    -.75129E-04     .24249E-05     .12494E+00    -.13666E-01    -.32481E-02         .000      .000
    .060    -.11009E-03     .13597E-05     .16814E+00    -.48169E-02    -.37347E-02         .000      .000
    .070    -.14903E-03    -.20425E-05     .20821E+00     .32685E-02    -.39856E-02         .000      .000
    .080    -.18948E-03    -.87679E-05     .23455E+00     .98316E-02    -.41398E-02         .000      .000
    .090    -.23208E-03    -.19580E-04     .22877E+00     .14514E-01    -.43711E-02         .000      .000
    .100    -.27839E-03    -.34412E-04     .19162E+00     .14248E-01    -.50484E-02         .000      .000
    .110    -.33469E-03    -.52408E-04     .14350E+00     .69142E-02    -.62157E-02         .000      .000
    .120    -.40284E-03    -.72359E-04     .10727E+00    -.64786E-02    -.74252E-02         .000      .000
    .130    -.48223E-03    -.93352E-04     .11490E+00    -.20914E-01    -.83415E-02         .000      .000
    .140    -.56902E-03    -.11606E-03     .14240E+00    -.18687E-01    -.90552E-02         .000      .000
    .150    -.66146E-03    -.14211E-03     .12949E+00     .80975E-02    -.92108E-02         .000      .000
    .160    -.74985E-03    -.17222E-03     .60300E-01     .39996E-01    -.83636E-02         .000      .000
    .170    -.82717E-03    -.20610E-03    -.23669E-01     .54388E-01    -.70484E-02         .000      .000
    .180    -.89042E-03    -.24372E-03    -.14885E+00     .57982E-01    -.56097E-02         .000      .000
    .190    -.93876E-03    -.28382E-03    -.34160E+00     .54275E-01    -.39928E-02         .000      .000
    .200    -.96767E-03    -.32315E-03    -.54952E+00     .37816E-01    -.15954E-02         .000      .000
    .210    -.96680E-03    -.35851E-03    -.72811E+00     .19014E-01     .19670E-02         .000      .000
    .220    -.92656E-03    -.38834E-03    -.91201E+00     .23975E-01     .60691E-02         .000      .000
    .230    -.84695E-03    -.41169E-03    -.11804E+01     .63701E-01     .97104E-02         .000      .000
    .240    -.73931E-03    -.42523E-03    -.15305E+01     .10491E+00     .11249E-01         .000      .000
    .250    -.62715E-03    -.42240E-03    -.18230E+01     .94932E-01     .11221E-01         .000      .000
    .260    -.51935E-03    -.39598E-03    -.18713E+01     .12434E-01     .98566E-02         .000      .000
    .270    -.43974E-03    -.34318E-03    -.15842E+01    -.88371E-01     .56126E-02         .000      .000
    .280    -.41191E-03    -.26819E-03    -.11419E+01    -.11673E+00    -.56121E-04         .000      .000
    .290    -.44045E-03    -.17606E-03    -.58796E+00    -.89441E-01    -.56242E-02         .000      .000
    .300    -.52010E-03    -.73674E-04     .19665E+00    -.58667E-01    -.99128E-02         .000      .000
