


 TIME HISTORY FOR STORY NO.  5



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.24546E-05     .49688E-10    -.84003E-03     .27445E-03    -.20777E-04         .000      .000
    .020    -.44418E-06     .12821E-06     .15674E-02    -.16238E-02    -.88665E-04         .000      .000
    .030    -.42905E-05     .22240E-06     .15367E-01    -.17371E-02    -.16906E-03         .000      .000
    .040    -.37893E-05    -.92035E-07    -.31131E-02     .32288E-02    -.24615E-03         .000      .000
    .050    -.95626E-05    -.95747E-07     .79929E-02    -.66626E-03    -.42430E-03         .000      .000
    .060    -.12743E-04    -.20638E-06     .11529E-01    -.12166E-02    -.74346E-03         .000      .000
    .070    -.24650E-04    -.30414E-06     .27261E-01    -.38201E-02    -.11258E-02         .000      .000
    .080    -.35460E-04    -.61970E-06     .36423E-01    -.37784E-02    -.15716E-02         .000      .000
    .090    -.56377E-04    -.10965E-05     .70712E-01    -.63870E-02    -.21015E-02         .000      .000
    .100    -.77744E-04    -.25033E-05     .89797E-01    -.28581E-02    -.27108E-02         .000      .000
    .110    -.11075E-03    -.49656E-05     .12343E+00    -.23376E-02    -.33662E-02         .000      .000
    .120    -.14530E-03    -.91640E-05     .14399E+00     .30253E-03    -.40933E-02         .000      .000
    .130    -.19281E-03    -.15287E-04     .18064E+00    -.17373E-02    -.48723E-02         .000      .000
    .140    -.24275E-03    -.24125E-04     .19748E+00    -.21659E-03    -.56560E-02         .000      .000
    .150    -.30327E-03    -.35818E-04     .22523E+00    -.22652E-02    -.56409E-02         .000      .000
    .160    -.35463E-03    -.51200E-04     .23281E+00     .65052E-03    -.53462E-02         .000      .000
    .170    -.41504E-03    -.71140E-04     .21702E+00     .13161E-01    -.64933E-02         .000      .000
    .180    -.48838E-03    -.96233E-04     .78787E-01     .40170E-01    -.88190E-02         .000      .000
    .190    -.59308E-03    -.12245E-03    -.26575E-01     .24375E-01    -.11657E-01         .000      .000
    .200    -.72346E-03    -.14650E-03     .44822E-01    -.33861E-01    -.15062E-01         .000      .000
    .210    -.89414E-03    -.16994E-03     .24874E+00    -.73933E-01    -.18383E-01         .000      .000
    .220    -.10876E-02    -.19737E-03     .40612E+00    -.49912E-01    -.20656E-01         .000      .000
    .230    -.13047E-02    -.23218E-03     .52673E+00     .86833E-02    -.22179E-01         .000      .000
    .240    -.15293E-02    -.27841E-03     .55392E+00     .77230E-01    -.23162E-01         .000      .000
    .250    -.17661E-02    -.33802E-03     .50055E+00     .11085E+00    -.23579E-01         .000      .000
    .260    -.19962E-02    -.41091E-03     .39359E+00     .93936E-01    -.22594E-01         .000      .000
    .270    -.22071E-02    -.49583E-03     .27912E+00     .45469E-01    -.18356E-01         .000      .000
    .280    -.23549E-02    -.59300E-03     .58231E-01     .29293E-01    -.11567E-01         .000      .000
    .290    -.24363E-02    -.70271E-03    -.41219E+00     .91254E-01    -.41042E-02         .000      .000
    .300    -.24371E-02    -.82134E-03    -.12849E+01     .20723E+00     .32983E-02         .000      .000
