


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.25584E-05    -.14519E-08    -.23522E-04     .29967E-04    -.22334E-04         .000      .000
    .020    -.46837E-06    -.56833E-08    -.28082E-02     .85692E-03    -.87826E-04         .000      .000
    .030    -.42486E-05     .22068E-06    -.92775E-03    -.47509E-03    -.13696E-03         .000      .000
    .040    -.34456E-05     .50157E-06     .12555E-01    -.25670E-02    -.25258E-03         .000      .000
    .050    -.96251E-05     .33591E-06     .87190E-02    -.11404E-02    -.46871E-03         .000      .000
    .060    -.13217E-04     .56949E-07     .52816E-02    -.45075E-03    -.80211E-03         .000      .000
    .070    -.25779E-04    -.10212E-06     .34779E-02    -.41654E-03    -.11717E-02         .000      .000
    .080    -.36907E-04     .30654E-07     .12867E-01    -.23428E-02    -.16156E-02         .000      .000
    .090    -.58367E-04     .35941E-06     .28564E-01    -.60192E-02    -.21455E-02         .000      .000
    .100    -.80346E-04     .63688E-06     .64023E-01    -.13109E-01    -.28306E-02         .000      .000
    .110    -.11541E-03    -.42101E-07     .10169E+00    -.20091E-01    -.36473E-02         .000      .000
    .120    -.15388E-03    -.25276E-05     .14010E+00    -.26492E-01    -.46361E-02         .000      .000
    .130    -.20844E-03    -.76035E-05     .16556E+00    -.30590E-01    -.57207E-02         .000      .000
    .140    -.26848E-03    -.15616E-04     .18975E+00    -.34383E-01    -.68586E-02         .000      .000
    .150    -.34288E-03    -.26976E-04     .20555E+00    -.37314E-01    -.71816E-02         .000      .000
    .160    -.41131E-03    -.41912E-04     .22779E+00    -.41860E-01    -.72635E-02         .000      .000
    .170    -.49351E-03    -.61177E-04     .25880E+00    -.48065E-01    -.89537E-02         .000      .000
    .180    -.59548E-03    -.86747E-04     .27557E+00    -.45755E-01    -.12157E-01         .000      .000
    .190    -.73815E-03    -.12035E-03     .14984E+00    -.10669E-01    -.15807E-01         .000      .000
    .200    -.91065E-03    -.15705E-03    -.92685E-01     .38074E-01    -.19179E-01         .000      .000
    .210    -.11183E-02    -.18690E-03    -.21290E+00     .47273E-01    -.21543E-01         .000      .000
    .220    -.13384E-02    -.20552E-03    -.12745E-01    -.80710E-02    -.22981E-01         .000      .000
    .230    -.15794E-02    -.22032E-03     .42592E+00    -.99137E-01    -.24853E-01         .000      .000
    .240    -.18390E-02    -.24597E-03     .88935E+00    -.18035E+00    -.27766E-01         .000      .000
    .250    -.21365E-02    -.29688E-03     .11218E+01    -.20543E+00    -.31206E-01         .000      .000
    .260    -.24583E-02    -.37885E-03     .10006E+01    -.16235E+00    -.33184E-01         .000      .000
    .270    -.27853E-02    -.48621E-03     .61387E+00    -.81996E-01    -.30722E-01         .000      .000
    .280    -.30600E-02    -.60693E-03     .21776E+00    -.15569E-01    -.24453E-01         .000      .000
    .290    -.32711E-02    -.73328E-03    -.16899E-01     .16166E-01    -.17197E-01         .000      .000
    .300    -.34066E-02    -.86800E-03    -.21709E+00     .60294E-01    -.10720E-01         .000      .000
