


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.26058E-05     .52660E-07     .19784E-01    -.43431E-02    -.40985E-04         .000      .000
    .020    -.74563E-06    -.77211E-06    -.15006E-01     .99309E-02    -.89257E-04         .000      .000
    .030    -.42253E-05    -.80903E-06    -.53772E-02    -.58544E-02    -.10363E-03         .000      .000
    .040    -.32778E-05    -.12400E-05     .25733E-02     .47622E-02    -.23174E-03         .000      .000
    .050    -.89231E-05    -.17954E-05     .41687E-02    -.41788E-02    -.40385E-03         .000      .000
    .060    -.11960E-04    -.31344E-05     .66721E-02     .77880E-02    -.73344E-03         .000      .000
    .070    -.23444E-04    -.50795E-05     .15287E-01     .27117E-03    -.10413E-02         .000      .000
    .080    -.33056E-04    -.88698E-05     .25084E-03     .17275E-01    -.14073E-02         .000      .000
    .090    -.51352E-04    -.14072E-04    -.29816E-01     .12776E-01    -.17263E-02         .000      .000
    .100    -.67932E-04    -.21257E-04    -.74849E-01     .29639E-01    -.21261E-02         .000      .000
    .110    -.93653E-04    -.29760E-04    -.12033E+00     .25005E-01    -.24831E-02         .000      .000
    .120    -.11792E-03    -.40255E-04    -.17679E+00     .44292E-01    -.29135E-02         .000      .000
    .130    -.15156E-03    -.52084E-04    -.22872E+00     .41802E-01    -.32601E-02         .000      .000
    .140    -.18309E-03    -.66015E-04    -.28833E+00     .62676E-01    -.35722E-02         .000      .000
    .150    -.21962E-03    -.81513E-04    -.36173E+00     .63691E-01    -.28917E-02         .000      .000
    .160    -.23961E-03    -.98586E-04    -.53495E+00     .93864E-01    -.18008E-02         .000      .000
    .170    -.26055E-03    -.11207E-03    -.62285E+00     .54554E-01    -.22257E-02         .000      .000
    .180    -.29101E-03    -.12145E-03    -.39366E+00     .92046E-02    -.46613E-02         .000      .000
    .190    -.35676E-03    -.13502E-03    -.85151E-01     .22803E-02    -.79916E-02         .000      .000
    .200    -.45026E-03    -.16291E-03    -.25719E-01     .81578E-01    -.11141E-01         .000      .000
    .210    -.57456E-03    -.20725E-03    -.23076E+00     .14215E+00    -.12830E-01         .000      .000
    .220    -.70113E-03    -.26703E-03    -.68887E+00     .20472E+00    -.12777E-01         .000      .000
    .230    -.82755E-03    -.33539E-03    -.13194E+01     .21111E+00    -.11989E-01         .000      .000
    .240    -.94168E-03    -.40333E-03    -.18608E+01     .20560E+00    -.11399E-01         .000      .000
    .250    -.10558E-02    -.46395E-03    -.21481E+01     .18521E+00    -.10896E-01         .000      .000
    .260    -.11552E-02    -.51680E-03    -.22302E+01     .21289E+00    -.90408E-02         .000      .000
    .270    -.12227E-02    -.56248E-03    -.23068E+01     .24274E+00    -.30583E-02         .000      .000
    .280    -.12052E-02    -.59777E-03    -.25804E+01     .25964E+00     .62444E-02         .000      .000
    .290    -.10980E-02    -.60749E-03    -.26686E+01     .10322E+00     .15452E-01         .000      .000
    .300    -.90721E-03    -.58099E-03    -.21359E+01    -.14007E+00     .21422E-01         .000      .000
