


 TIME HISTORY FOR STORY NO.  6



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.24490E-05    -.78972E-09    -.42907E-05     .20679E-03    -.46704E-03         .000      .000
    .020    -.94760E-05    -.13618E-07    -.20922E-02     .11395E-02    -.98764E-03         .000      .000
    .030    -.22255E-04     .13070E-06    -.11569E-01     .34404E-02    -.15249E-02         .000      .000
    .040    -.39998E-04     .11488E-05    -.12636E-01     .25134E-02    -.20717E-02         .000      .000
    .050    -.63676E-04     .35447E-05     .24732E-01    -.69708E-02    -.26154E-02         .000      .000
    .060    -.92158E-04     .63448E-05     .10100E+00    -.22648E-01    -.31121E-02         .000      .000
    .070    -.12601E-03     .73317E-05     .18303E+00    -.37507E-01    -.36349E-02         .000      .000
    .080    -.16521E-03     .43281E-05     .24437E+00    -.47303E-01    -.42621E-02         .000      .000
    .090    -.21186E-03    -.42041E-05     .26806E+00    -.49015E-01    -.50693E-02         .000      .000
    .100    -.26790E-03    -.18813E-04     .24156E+00    -.40546E-01    -.62659E-02         .000      .000
    .110    -.33808E-03    -.38622E-04     .16647E+00    -.23479E-01    -.77348E-02         .000      .000
    .120    -.42177E-03    -.61329E-04     .67363E-01    -.38204E-02    -.89587E-02         .000      .000
    .130    -.51535E-03    -.83883E-04    -.10791E-01     .83872E-02    -.96165E-02         .000      .000
    .140    -.61314E-03    -.10402E-03    -.80613E-02     .22769E-02    -.99890E-02         .000      .000
    .150    -.71443E-03    -.12259E-03     .89673E-01    -.20369E-01    -.10148E-01         .000      .000
    .160    -.81487E-03    -.14395E-03     .20704E+00    -.40839E-01    -.99312E-02         .000      .000
    .170    -.91275E-03    -.17266E-03     .24252E+00    -.41749E-01    -.96215E-02         .000      .000
    .180    -.10068E-02    -.21015E-03     .16672E+00    -.21722E-01    -.91743E-02         .000      .000
    .190    -.10947E-02    -.25480E-03    -.85982E-02     .16291E-01    -.82788E-02         .000      .000
    .200    -.11683E-02    -.30247E-03    -.26006E+00     .66015E-01    -.61474E-02         .000      .000
    .210    -.12120E-02    -.34693E-03    -.51986E+00     .11150E+00    -.23076E-02         .000      .000
    .220    -.12113E-02    -.38231E-03    -.69432E+00     .13602E+00     .24552E-02         .000      .000
    .230    -.11645E-02    -.40669E-03    -.75864E+00     .14211E+00     .67380E-02         .000      .000
    .240    -.10840E-02    -.42248E-03    -.82399E+00     .15850E+00     .88198E-02         .000      .000
    .250    -.99223E-03    -.43109E-03    -.10449E+01     .21124E+00     .96647E-02         .000      .000
    .260    -.89095E-03    -.42627E-03    -.14312E+01     .28959E+00     .10416E-01         .000      .000
    .270    -.78716E-03    -.39370E-03    -.17429E+01     .33479E+00     .10167E-01         .000      .000
    .280    -.68971E-03    -.32116E-03    -.16435E+01     .28849E+00     .92770E-02         .000      .000
    .290    -.60455E-03    -.21046E-03    -.10751E+01     .15955E+00     .75233E-02         .000      .000
    .300    -.54151E-03    -.76155E-04    -.21639E+00    -.13953E-01     .51015E-02         .000      .000
