


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.17466E-05     .36022E-07     .90942E-02    -.24481E-02    -.33773E-03         .000      .000
    .020    -.69745E-05    -.31478E-06     .39150E-01    -.35251E-02    -.74563E-03         .000      .000
    .030    -.16640E-04    -.21946E-05     .49623E-01     .30630E-02    -.11488E-02         .000      .000
    .040    -.29684E-04    -.61952E-05     .20449E-01     .14077E-01    -.14741E-02         .000      .000
    .050    -.45681E-04    -.12010E-04    -.29415E-01     .20821E-01    -.16691E-02         .000      .000
    .060    -.62451E-04    -.19289E-04    -.94789E-01     .27335E-01    -.16773E-02         .000      .000
    .070    -.78701E-04    -.27363E-04    -.17606E+00     .32553E-01    -.15300E-02         .000      .000
    .080    -.92865E-04    -.35115E-04    -.24629E+00     .35372E-01    -.13271E-02         .000      .000
    .090    -.10551E-03    -.41598E-04    -.27485E+00     .33008E-01    -.12056E-02         .000      .000
    .100    -.11809E-03    -.46828E-04    -.25247E+00     .28912E-01    -.14175E-02         .000      .000
    .110    -.13498E-03    -.51846E-04    -.18255E+00     .23565E-01    -.19648E-02         .000      .000
    .120    -.15731E-03    -.58947E-04    -.11905E+00     .28842E-01    -.24833E-02         .000      .000
    .130    -.18335E-03    -.70005E-04    -.13795E+00     .42766E-01    -.26159E-02         .000      .000
    .140    -.20858E-03    -.84637E-04    -.24410E+00     .52704E-01    -.24408E-02         .000      .000
    .150    -.23124E-03    -.10051E-03    -.36482E+00     .46021E-01    -.19908E-02         .000      .000
    .160    -.24727E-03    -.11563E-03    -.47566E+00     .38851E-01    -.11942E-02         .000      .000
    .170    -.25484E-03    -.12781E-03    -.56770E+00     .30813E-01    -.31585E-03         .000      .000
    .180    -.25391E-03    -.13462E-03    -.56121E+00     .13635E-01     .46407E-03         .000      .000
    .190    -.24586E-03    -.13579E-03    -.44183E+00    -.72395E-02     .11555E-02         .000      .000
    .200    -.22956E-03    -.13320E-03    -.28705E+00    -.21396E-01     .22206E-02         .000      .000
    .210    -.19890E-03    -.12842E-03    -.20111E+00    -.28784E-01     .40462E-02         .000      .000
    .220    -.14769E-03    -.11992E-03    -.18612E+00    -.50990E-01     .61457E-02         .000      .000
    .230    -.78743E-04    -.10388E-03    -.10383E+00    -.10707E+00     .74183E-02         .000      .000
    .240    -.69521E-05    -.78732E-04     .16164E+00    -.17802E+00     .64177E-02         .000      .000
    .250     .43687E-04    -.48285E-04     .62248E+00    -.22722E+00     .36601E-02         .000      .000
    .260     .63992E-04    -.22257E-04     .10084E+01    -.19884E+00     .23349E-03         .000      .000
    .270     .46158E-04    -.78066E-05     .11526E+01    -.14165E+00    -.38817E-02         .000      .000
    .280    -.13502E-04    -.83526E-05     .11414E+01    -.93245E-01    -.79488E-02         .000      .000
    .290    -.11077E-03    -.28176E-04     .83817E+00    -.18119E-01    -.11391E-01         .000      .000
    .300    -.23626E-03    -.66766E-04     .17756E+00     .82245E-01    -.13326E-01         .000      .000
