


 TIME HISTORY FOR STORY NO.  3



    TIME   DISPLACEMENT    STORY DRIFT    STORY SHEAR   ACCELERATION     VELOCITY          DAMAGE    DAMAGE
                                                                                          BEAM-SLAB  COL-WALL

    .000     .00000E+00     .00000E+00     .00000E+00     .00000E+00     .00000E+00         .000      .000
    .010    -.19804E-05     .40021E-07     .15036E-01    -.33007E-02    -.31149E-04         .000      .000
    .020    -.56668E-06    -.58680E-06    -.11405E-01     .75475E-02    -.67836E-04         .000      .000
    .030    -.32112E-05    -.61486E-06    -.40866E-02    -.44494E-02    -.78760E-04         .000      .000
    .040    -.24911E-05    -.94243E-06     .19557E-02     .36192E-02    -.17612E-03         .000      .000
    .050    -.67816E-05    -.13645E-05     .31682E-02    -.31759E-02    -.30693E-03         .000      .000
    .060    -.90892E-05    -.23821E-05     .50708E-02     .59188E-02    -.55742E-03         .000      .000
    .070    -.17818E-04    -.38605E-05     .11618E-01     .20609E-03    -.79138E-03         .000      .000
    .080    -.25123E-04    -.67410E-05     .19064E-03     .13129E-01    -.10696E-02         .000      .000
    .090    -.39028E-04    -.10695E-04    -.22660E-01     .97097E-02    -.13120E-02         .000      .000
    .100    -.51628E-04    -.16156E-04    -.56886E-01     .22526E-01    -.16158E-02         .000      .000
    .110    -.71176E-04    -.22617E-04    -.91450E-01     .19004E-01    -.18872E-02         .000      .000
    .120    -.89619E-04    -.30594E-04    -.13436E+00     .33662E-01    -.22142E-02         .000      .000
    .130    -.11519E-03    -.39584E-04    -.17383E+00     .31770E-01    -.24776E-02         .000      .000
    .140    -.13915E-03    -.50171E-04    -.21913E+00     .47634E-01    -.27149E-02         .000      .000
    .150    -.16691E-03    -.61950E-04    -.27491E+00     .48405E-01    -.21977E-02         .000      .000
    .160    -.18210E-03    -.74926E-04    -.40657E+00     .71337E-01    -.13686E-02         .000      .000
    .170    -.19802E-03    -.85170E-04    -.47336E+00     .41461E-01    -.16915E-02         .000      .000
    .180    -.22117E-03    -.92304E-04    -.29918E+00     .69955E-02    -.35426E-02         .000      .000
    .190    -.27113E-03    -.10262E-03    -.64715E-01     .17331E-02    -.60736E-02         .000      .000
    .200    -.34220E-03    -.12381E-03    -.19546E-01     .61999E-01    -.84673E-02         .000      .000
    .210    -.43667E-03    -.15751E-03    -.17538E+00     .10803E+00    -.97508E-02         .000      .000
    .220    -.53286E-03    -.20294E-03    -.52354E+00     .15559E+00    -.97108E-02         .000      .000
    .230    -.62894E-03    -.25490E-03    -.10027E+01     .16044E+00    -.91114E-02         .000      .000
    .240    -.71568E-03    -.30653E-03    -.14142E+01     .15626E+00    -.86635E-02         .000      .000
    .250    -.80240E-03    -.35260E-03    -.16326E+01     .14076E+00    -.82811E-02         .000      .000
    .260    -.87793E-03    -.39277E-03    -.16949E+01     .16179E+00    -.68710E-02         .000      .000
    .270    -.92928E-03    -.42749E-03    -.17532E+01     .18448E+00    -.23243E-02         .000      .000
    .280    -.91596E-03    -.45430E-03    -.19611E+01     .19733E+00     .47458E-02         .000      .000
    .290    -.83448E-03    -.46169E-03    -.20282E+01     .78448E-01     .11744E-01         .000      .000
    .300    -.68948E-03    -.44156E-03    -.16233E+01    -.10646E+00     .16281E-01         .000      .000
